DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.26 00:00:12 664,A1CC500PV3D01,1,,RETRY,846.7904,550.1723,860.8783,598.2238,0.1034,0.1461,-0.0801,-0.00772,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.00.12 664\Left.jpg,.\Image\1\Alignment\2019\04\26\00.00.12 664\Right.jpg
2019.04.26 00:00:12 802,A1CC500PV3D01,2,,RETRY,689.1092,565.5135,695.2181,631.1533,-0.5217,-0.5004,-0.006,-0.01851,1,00:00:00,.\Image\2\Alignment\2019\04\26\00.00.12 802\Left.jpg,.\Image\2\Alignment\2019\04\26\00.00.12 802\Right.jpg
2019.04.26 00:00:13 427,A1CC500PV3D01,1,,OK,800.1546,599.0131,800.0464,600.8474,-0.0011,-0.0015,-0.0002,-0.00029,1,00:00:01.0580000,.\Image\1\Alignment\2019\04\26\00.00.13 427\Left.jpg,.\Image\1\Alignment\2019\04\26\00.00.13 427\Right.jpg
2019.04.26 00:00:13 768,A1CC500PV3D01,2,,OK,800.897,599.855,800.0749,600.5169,0.001,-0.0016,0.0006,-0.00019,1,00:00:01.1910000,.\Image\2\Alignment\2019\04\26\00.00.13 768\Left.jpg,.\Image\2\Alignment\2019\04\26\00.00.13 768\Right.jpg
2019.04.26 00:00:29 538,A1CC500PV3D01,1,,RETRY,852.178,540.0053,865.6664,595.5252,0.1136,0.1544,-0.1001,-0.00892,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.00.29 538\Left.jpg,.\Image\1\Alignment\2019\04\26\00.00.29 538\Right.jpg
2019.04.26 00:00:29 772,A1CC500PV3D01,2,,RETRY,670.852,569.1901,677.6278,635.6891,-0.5806,-0.5569,0.0065,-0.01874,1,00:00:00,.\Image\2\Alignment\2019\04\26\00.00.29 772\Left.jpg,.\Image\2\Alignment\2019\04\26\00.00.29 772\Right.jpg
2019.04.26 00:00:30 572,A1CC500PV3D01,1,,OK,799.557,599.966,800.0031,600.0485,-0.0015,-0.0001,0,-1E-05,1,00:00:01.4190000,.\Image\1\Alignment\2019\04\26\00.00.30 572\Left.jpg,.\Image\1\Alignment\2019\04\26\00.00.30 572\Right.jpg
2019.04.26 00:00:30 864,A1CC500PV3D01,2,,OK,800.7192,599.7703,799.5623,599.7599,0.0023,-0.0013,-0.0007,0,1,00:00:01.5050000,.\Image\2\Alignment\2019\04\26\00.00.30 864\Left.jpg,.\Image\2\Alignment\2019\04\26\00.00.30 864\Right.jpg
2019.04.26 00:00:46 815,A1CC500PV3D01,1,,RETRY,840.0362,534.4603,853.3922,567.5412,0.0954,0.136,-0.152,-0.00534,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.00.46 815\Left.jpg,.\Image\1\Alignment\2019\04\26\00.00.46 815\Right.jpg
2019.04.26 00:00:46 860,A1CC500PV3D01,2,,RETRY,663.8474,564.2538,670.1866,628.8071,-0.5971,-0.5745,-0.0117,-0.01819,1,00:00:00,.\Image\2\Alignment\2019\04\26\00.00.46 860\Left.jpg,.\Image\2\Alignment\2019\04\26\00.00.46 860\Right.jpg
2019.04.26 00:00:47 545,A1CC500PV3D01,1,,OK,800.15,599.228,800.2465,601.2453,-0.0013,-0.001,0.0007,-0.00032,1,00:00:01.1130000,.\Image\1\Alignment\2019\04\26\00.00.47 545\Left.jpg,.\Image\1\Alignment\2019\04\26\00.00.47 545\Right.jpg
2019.04.26 00:00:47 660,A1CC500PV3D01,2,,OK,801.0627,599.3591,800.1809,600.8494,-0.0007,-0.0035,0.0003,-0.00042,1,00:00:01.1050000,.\Image\2\Alignment\2019\04\26\00.00.47 660\Left.jpg,.\Image\2\Alignment\2019\04\26\00.00.47 660\Right.jpg
2019.04.26 00:01:03 524,A1CC500PV3D01,1,,RETRY,845.2793,564.257,857.936,606.8232,0.1035,0.1419,-0.0449,-0.00683,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.01.03 524\Left.jpg,.\Image\1\Alignment\2019\04\26\00.01.03 524\Right.jpg
2019.04.26 00:01:03 816,A1CC500PV3D01,2,,RETRY,653.0462,568.1523,659.2621,640.4047,-0.6515,-0.629,0.012,-0.02036,1,00:00:00,.\Image\2\Alignment\2019\04\26\00.01.03 816\Left.jpg,.\Image\2\Alignment\2019\04\26\00.01.03 816\Right.jpg
2019.04.26 00:01:04 435,A1CC500PV3D01,2,,OK,801.0105,600.2253,800.4476,600.6564,0.002,0.0002,0.0014,-0.00012,1,00:00:01.0260000,.\Image\2\Alignment\2019\04\26\00.01.04 435\Left.jpg,.\Image\2\Alignment\2019\04\26\00.01.04 435\Right.jpg
2019.04.26 00:01:04 717,A1CC500PV3D01,1,,OK,800.3194,598.2491,800.6229,600.4606,-0.0009,0,-0.002,-0.00035,1,00:00:01.5080000,.\Image\1\Alignment\2019\04\26\00.01.04 717\Left.jpg,.\Image\1\Alignment\2019\04\26\00.01.04 717\Right.jpg
2019.04.26 00:01:20 163,A1CC500PV3D01,1,,RETRY,850.0672,558.1143,862.5543,616.4155,0.1046,0.1424,-0.0396,-0.00935,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.01.20 163\Left.jpg,.\Image\1\Alignment\2019\04\26\00.01.20 163\Right.jpg
2019.04.26 00:01:20 380,A1CC500PV3D01,2,,RETRY,684.2279,568.7932,690.119,634.7004,-0.5376,-0.5168,0.0044,-0.01858,1,00:00:00,.\Image\2\Alignment\2019\04\26\00.01.20 380\Left.jpg,.\Image\2\Alignment\2019\04\26\00.01.20 380\Right.jpg
2019.04.26 00:01:20 851,A1CC500PV3D01,1,,OK,799.6279,599.8414,799.9655,599.8467,-0.0012,-0.0001,-0.0005,0,1,00:00:00.9910000,.\Image\1\Alignment\2019\04\26\00.01.20 851\Left.jpg,.\Image\1\Alignment\2019\04\26\00.01.20 851\Right.jpg
2019.04.26 00:01:21 499,A1CC500PV3D01,2,,OK,799.3303,601.2826,799.0761,600.4099,0.0003,-0.0005,0.0026,0.00025,1,00:00:01.5340000,.\Image\2\Alignment\2019\04\26\00.01.21 499\Left.jpg,.\Image\2\Alignment\2019\04\26\00.01.21 499\Right.jpg
2019.04.26 00:01:37 345,A1CC500PV3D01,1,,RETRY,855.6581,559.1873,868.8502,596.0405,0.1408,0.1807,-0.0695,-0.00592,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.01.37 345\Left.jpg,.\Image\1\Alignment\2019\04\26\00.01.37 345\Right.jpg
2019.04.26 00:01:37 499,A1CC500PV3D01,2,,RETRY,686.1037,565.3202,692.5102,632.9707,-0.5365,-0.5142,-0.0036,-0.01908,1,00:00:00,.\Image\2\Alignment\2019\04\26\00.01.37 499\Left.jpg,.\Image\2\Alignment\2019\04\26\00.01.37 499\Right.jpg
2019.04.26 00:01:38 613,A1CC500PV3D01,2,,OK,799.732,601.2545,799.1295,599.96,0.0026,0.0008,0.0019,0.00037,1,00:00:01.5010000,.\Image\2\Alignment\2019\04\26\00.01.38 613\Left.jpg,.\Image\2\Alignment\2019\04\26\00.01.38 613\Right.jpg
2019.04.26 00:01:38 819,A1CC500PV3D01,1,,OK,799.6189,600.1074,800.1204,599.9712,-0.0011,0.0005,0.0001,2E-05,1,00:00:01.8750000,.\Image\1\Alignment\2019\04\26\00.01.38 819\Left.jpg,.\Image\1\Alignment\2019\04\26\00.01.38 819\Right.jpg
2019.04.26 00:01:54 070,A1CC500PV3D01,1,,RETRY,835.9484,568.4896,848.9986,575.89,0.1053,0.1451,-0.0862,-0.00121,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.01.54 070\Left.jpg,.\Image\1\Alignment\2019\04\26\00.01.54 070\Right.jpg
2019.04.26 00:01:54 264,A1CC500PV3D01,2,,RETRY,677.8007,553.3632,684.5603,621.5878,-0.564,-0.5404,-0.0395,-0.01925,1,00:00:00,.\Image\2\Alignment\2019\04\26\00.01.54 264\Left.jpg,.\Image\2\Alignment\2019\04\26\00.01.54 264\Right.jpg
2019.04.26 00:01:54 750,A1CC500PV3D01,1,,OK,800.3217,598.5232,800.0591,601.0874,-0.0013,-0.0021,-0.0006,-0.00041,1,00:00:00.9890000,.\Image\1\Alignment\2019\04\26\00.01.54 750\Left.jpg,.\Image\1\Alignment\2019\04\26\00.01.54 750\Right.jpg
2019.04.26 00:01:55 062,A1CC500PV3D01,2,,OK,800.956,600.6435,800.7529,601.7803,-0.0002,-0.0008,0.0037,-0.00032,1,00:00:01.0780000,.\Image\2\Alignment\2019\04\26\00.01.55 062\Left.jpg,.\Image\2\Alignment\2019\04\26\00.01.55 062\Right.jpg
2019.04.26 00:02:11 149,A1CC500PV3D01,1,,RETRY,849.267,573.1149,861.9159,625.8722,0.107,0.1454,-0.0016,-0.00845,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.02.11 149\Left.jpg,.\Image\1\Alignment\2019\04\26\00.02.11 149\Right.jpg
2019.04.26 00:02:11 187,A1CC500PV3D01,2,,RETRY,673.6631,562.9973,680.4556,634.2519,-0.5849,-0.5611,-0.0052,-0.02009,1,00:00:00,.\Image\2\Alignment\2019\04\26\00.02.11 187\Left.jpg,.\Image\2\Alignment\2019\04\26\00.02.11 187\Right.jpg
2019.04.26 00:02:11 927,A1CC500PV3D01,2,,OK,800.8914,601.1849,800.9389,602.3902,-0.0006,-0.0004,0.0055,-0.00034,1,00:00:01.2210000,.\Image\2\Alignment\2019\04\26\00.02.11 927\Left.jpg,.\Image\2\Alignment\2019\04\26\00.02.11 927\Right.jpg
2019.04.26 00:02:12 187,A1CC500PV3D01,1,,OK,799.0948,601.4544,800.0131,599.5776,-0.0012,0.0017,0.0016,0.0003,1,00:00:01.6410000,.\Image\1\Alignment\2019\04\26\00.02.12 187\Left.jpg,.\Image\1\Alignment\2019\04\26\00.02.12 187\Right.jpg
2019.04.26 00:02:27 613,A1CC500PV3D01,1,,RETRY,854.3756,568.2378,867.5073,616.8191,0.1266,0.1663,-0.0232,-0.00779,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.02.27 613\Left.jpg,.\Image\1\Alignment\2019\04\26\00.02.27 613\Right.jpg
2019.04.26 00:02:28 018,A1CC500PV3D01,2,,RETRY,694.0384,573.8952,700.6198,636.0355,-0.4969,-0.4743,0.0143,-0.01752,1,00:00:00,.\Image\2\Alignment\2019\04\26\00.02.28 018\Left.jpg,.\Image\2\Alignment\2019\04\26\00.02.28 018\Right.jpg
2019.04.26 00:02:28 520,A1CC500PV3D01,1,,OK,800.0018,599.4283,800.3808,601.1986,-0.0015,-0.0004,0.001,-0.00028,1,00:00:01.0380000,.\Image\1\Alignment\2019\04\26\00.02.28 520\Left.jpg,.\Image\1\Alignment\2019\04\26\00.02.28 520\Right.jpg
2019.04.26 00:02:28 765,A1CC500PV3D01,2,,OK,801.3538,600.6112,800.4513,601.6763,0.0013,-0.0015,0.0035,-0.0003,1,00:00:01.1140000,.\Image\2\Alignment\2019\04\26\00.02.28 765\Left.jpg,.\Image\2\Alignment\2019\04\26\00.02.28 765\Right.jpg
2019.04.26 00:02:44 606,A1CC500PV3D01,1,,RETRY,837.4696,578.4293,850.5203,608.7705,0.09,0.1297,-0.0199,-0.00487,1,00:00:00,.\Image\1\Alignment\2019\04\26\00.02.44 606\Left.jpg,.\Image\1\Alignment\2019\04\26\00.02.44 606\Right.jpg
