DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.18 00:00:11 911,50inch rev,1,,RETRY,882.2688,490.246,887.1719,546.0412,0.2067,0.2205,-0.2539,-0.00902,1,00:00:00,.\Image\1\Alignment\2019\04\18\00.00.11 911\Left.jpg,.\Image\1\Alignment\2019\04\18\00.00.11 911\Right.jpg
2019.04.18 00:00:12 134,50inch rev,2,,RETRY,627.3596,576.0326,639.855,638.7067,-0.7034,-0.6632,0.023,-0.01768,1,00:00:00,.\Image\2\Alignment\2019\04\18\00.00.12 134\Left.jpg,.\Image\2\Alignment\2019\04\18\00.00.12 134\Right.jpg
2019.04.18 00:00:12 867,50inch rev,1,,OK,799.5367,600.1359,799.8499,599.5006,-0.0009,0.0001,-0.0006,0.0001,1,00:00:01.1450000,.\Image\1\Alignment\2019\04\18\00.00.12 867\Left.jpg,.\Image\1\Alignment\2019\04\18\00.00.12 867\Right.jpg
2019.04.18 00:00:12 949,50inch rev,2,,OK,801.2326,599.4845,801.2846,600.6985,0.0005,0.0007,0.0003,-0.00034,1,00:00:01.2050000,.\Image\2\Alignment\2019\04\18\00.00.12 949\Left.jpg,.\Image\2\Alignment\2019\04\18\00.00.12 949\Right.jpg
2019.04.18 00:00:30 484,50inch rev,1,,RETRY,874.1799,490.8718,879.477,563.778,0.1665,0.1817,-0.2255,-0.01176,1,00:00:00,.\Image\1\Alignment\2019\04\18\00.00.30 484\Left.jpg,.\Image\1\Alignment\2019\04\18\00.00.30 484\Right.jpg
2019.04.18 00:00:30 664,50inch rev,2,,RETRY,621.8397,545.6491,634.2618,610.6508,-0.7271,-0.6871,-0.0669,-0.01836,1,00:00:00,.\Image\2\Alignment\2019\04\18\00.00.30 664\Left.jpg,.\Image\2\Alignment\2019\04\18\00.00.30 664\Right.jpg
2019.04.18 00:00:31 231,50inch rev,1,,OK,800.0971,599.3667,799.9194,600.3042,-0.0005,-0.0011,-0.0005,-0.00015,1,00:00:00.7940000,.\Image\1\Alignment\2019\04\18\00.00.31 231\Left.jpg,.\Image\1\Alignment\2019\04\18\00.00.31 231\Right.jpg
2019.04.18 00:00:31 421,50inch rev,2,,OK,800.7253,599.5359,800.693,599.9933,0.001,0.0009,-0.0007,-0.00013,1,00:00:00.8610000,.\Image\2\Alignment\2019\04\18\00.00.31 421\Left.jpg,.\Image\2\Alignment\2019\04\18\00.00.31 421\Right.jpg
2019.04.18 00:00:50 093,50inch rev,1,,RETRY,871.4069,509.6349,876.6391,534.4916,0.2,0.2151,-0.2417,-0.00405,1,00:00:00,.\Image\1\Alignment\2019\04\18\00.00.50 093\Left.jpg,.\Image\1\Alignment\2019\04\18\00.00.50 093\Right.jpg
2019.04.18 00:00:50 192,50inch rev,2,,RETRY,627.8759,560.8387,640.1374,631.8308,-0.7245,-0.6851,-0.0109,-0.02004,1,00:00:00,.\Image\2\Alignment\2019\04\18\00.00.50 192\Left.jpg,.\Image\2\Alignment\2019\04\18\00.00.50 192\Right.jpg
2019.04.18 00:00:50 681,50inch rev,2,,OK,800.2717,599.7978,800.5222,599.5361,0.0015,0.0023,-0.001,7E-05,1,00:00:00.6770000,.\Image\2\Alignment\2019\04\18\00.00.50 681\Left.jpg,.\Image\2\Alignment\2019\04\18\00.00.50 681\Right.jpg
2019.04.18 00:00:51 169,50inch rev,1,,RETRY,798.425,601.3619,798.5119,597.5655,-0.0016,-0.0013,-0.0017,0.00061,2,00:00:00,.\Image\1\Alignment\2019\04\18\00.00.51 169\Left.jpg,.\Image\1\Alignment\2019\04\18\00.00.51 169\Right.jpg
2019.04.18 00:00:51 944,50inch rev,1,,OK,800.9125,600.166,800.8515,600.8919,0.0022,0.002,0.0016,-0.00012,2,00:00:02.0950000,.\Image\1\Alignment\2019\04\18\00.00.51 944\Left.jpg,.\Image\1\Alignment\2019\04\18\00.00.51 944\Right.jpg
2019.04.18 00:01:09 123,50inch rev,1,,RETRY,857.6564,473.3952,862.8922,546.9339,0.1145,0.1297,-0.2787,-0.01187,1,00:00:00,.\Image\1\Alignment\2019\04\18\00.01.09 123\Left.jpg,.\Image\1\Alignment\2019\04\18\00.01.09 123\Right.jpg
2019.04.18 00:01:09 294,50inch rev,2,,RETRY,613.2163,554.1783,625.4029,619.3085,-0.7539,-0.7146,-0.0404,-0.01839,1,00:00:00,.\Image\2\Alignment\2019\04\18\00.01.09 294\Left.jpg,.\Image\2\Alignment\2019\04\18\00.01.09 294\Right.jpg
2019.04.18 00:01:09 767,50inch rev,1,,OK,799.6229,599.6065,799.8246,599.852,-0.0014,-0.0008,-0.0008,-4E-05,1,00:00:00.7520000,.\Image\1\Alignment\2019\04\18\00.01.09 767\Left.jpg,.\Image\1\Alignment\2019\04\18\00.01.09 767\Right.jpg
2019.04.18 00:01:09 923,50inch rev,2,,OK,800.9233,599.8934,800.7179,600.3807,0.0015,0.0009,0.0004,-0.00014,1,00:00:00.7690000,.\Image\2\Alignment\2019\04\18\00.01.09 923\Left.jpg,.\Image\2\Alignment\2019\04\18\00.01.09 923\Right.jpg
2019.04.18 00:01:27 394,50inch rev,1,,RETRY,869.9527,482.1482,875.5734,527.8201,0.1772,0.1934,-0.2947,-0.00741,1,00:00:00,.\Image\1\Alignment\2019\04\18\00.01.27 394\Left.jpg,.\Image\1\Alignment\2019\04\18\00.01.27 394\Right.jpg
2019.04.18 00:01:27 518,50inch rev,2,,RETRY,613.9856,567.9605,626.4885,642.0281,-0.7756,-0.7353,0.0158,-0.0209,1,00:00:00,.\Image\2\Alignment\2019\04\18\00.01.27 518\Left.jpg,.\Image\2\Alignment\2019\04\18\00.01.27 518\Right.jpg
2019.04.18 00:01:28 109,50inch rev,1,,OK,800.183,599.0192,800.0133,600.6186,-0.0008,-0.0014,-0.0006,-0.00026,1,00:00:00.8720000,.\Image\1\Alignment\2019\04\18\00.01.28 109\Left.jpg,.\Image\1\Alignment\2019\04\18\00.01.28 109\Right.jpg
2019.04.18 00:01:28 337,50inch rev,2,,OK,801.2932,599.4892,801.1299,600.9671,0,-0.0005,0.0007,-0.00042,1,00:00:00.9970000,.\Image\2\Alignment\2019\04\18\00.01.28 337\Left.jpg,.\Image\2\Alignment\2019\04\18\00.01.28 337\Right.jpg
2019.04.18 00:01:46 629,50inch rev,1,,RETRY,883.4186,480.9003,888.9854,540.4897,0.2069,0.2227,-0.277,-0.00964,1,00:00:00,.\Image\1\Alignment\2019\04\18\00.01.46 629\Left.jpg,.\Image\1\Alignment\2019\04\18\00.01.46 629\Right.jpg
2019.04.18 00:01:46 882,50inch rev,2,,RETRY,596.6924,561.5552,609.2271,622.1529,-0.7925,-0.7521,-0.0246,-0.01709,1,00:00:00,.\Image\2\Alignment\2019\04\18\00.01.46 882\Left.jpg,.\Image\2\Alignment\2019\04\18\00.01.46 882\Right.jpg
