DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.21 00:32:58 781,A1CC430LV1D01,1,,RETRY,833.159,578.0264,858.8455,629.0856,0.0691,0.1481,0.0109,-0.00718,1,00:00:00,.\Image\1\Alignment\2019\04\21\00.32.58 781\Left.jpg,.\Image\1\Alignment\2019\04\21\00.32.58 781\Right.jpg
2019.04.21 00:32:59 499,A1CC430LV1D01,1,,RETRY,799.2565,594.0415,799.2654,605.1849,-0.0098,-0.0097,-0.0012,-0.00157,2,00:00:00,.\Image\1\Alignment\2019\04\21\00.32.59 499\Left.jpg,.\Image\1\Alignment\2019\04\21\00.32.59 499\Right.jpg
2019.04.21 00:33:00 145,A1CC430LV1D01,1,,OK,800.2354,598.6087,800.4281,601.582,-0.0013,-0.0007,0.0003,-0.00042,2,00:00:01.5900000,.\Image\1\Alignment\2019\04\21\00.33.00 145\Left.jpg,.\Image\1\Alignment\2019\04\21\00.33.00 145\Right.jpg
2019.04.21 00:33:11 075,A1CC430LV1D01,2,,NG(L),,,,,,,,,,,.\Image\2\Alignment\2019\04\21\00.33.11 075\Left.jpg,.\Image\2\Alignment\2019\04\21\00.33.11 075\Right.jpg
2019.04.21 01:01:59 389,A1CC430LV1D01,1,,RETRY,787.7335,639.0376,793.7799,663.9324,-0.0221,-0.0031,0.1597,-0.00346,,,.\Image\1\Alignment\2019\04\21\01.01.59 389\Left.jpg,.\Image\1\Alignment\2019\04\21\01.01.59 389\Right.jpg
2019.04.21 01:02:00 198,A1CC430LV1D01,1,,RETRY,799.669,595.4262,799.3351,603.863,0.0045,0.0034,-0.0011,-0.00119,,,.\Image\1\Alignment\2019\04\21\01.02.00 198\Left.jpg,.\Image\1\Alignment\2019\04\21\01.02.00 198\Right.jpg
2019.04.21 01:02:01 088,A1CC430LV1D01,1,,OK,799.2887,598.6377,799.9353,601.4948,-0.0003,0.0017,0.0002,-0.0004,,,.\Image\1\Alignment\2019\04\21\01.02.01 088\Left.jpg,.\Image\1\Alignment\2019\04\21\01.02.01 088\Right.jpg
2019.04.21 01:28:43 398,A1CC430LV1D01,1,,RETRY,786.3765,621.1928,793.0596,654.5226,-0.0208,0.0002,0.1174,-0.00466,,,.\Image\1\Alignment\2019\04\21\01.28.43 398\Left.jpg,.\Image\1\Alignment\2019\04\21\01.28.43 398\Right.jpg
2019.04.21 01:28:44 130,A1CC430LV1D01,1,,RETRY,801.645,597.8847,801.2277,602.1044,0.0079,0.0066,0,-0.00059,,,.\Image\1\Alignment\2019\04\21\01.28.44 130\Left.jpg,.\Image\1\Alignment\2019\04\21\01.28.44 130\Right.jpg
2019.04.21 01:28:45 191,A1CC430LV1D01,1,,OK,799.63,599.2366,800.2152,599.6383,-0.0009,0.0009,-0.0017,-6E-05,,,.\Image\1\Alignment\2019\04\21\01.28.45 191\Left.jpg,.\Image\1\Alignment\2019\04\21\01.28.45 191\Right.jpg
2019.04.21 01:39:42 427,A1CC430LV1D01,1,,RETRY,786.8239,627.9814,793.193,650.0448,-0.0268,-0.0068,0.121,-0.00308,,,.\Image\1\Alignment\2019\04\21\01.39.42 427\Left.jpg,.\Image\1\Alignment\2019\04\21\01.39.42 427\Right.jpg
2019.04.21 01:39:43 519,A1CC430LV1D01,1,,OK,801.1284,598.6753,801.1491,600.7218,0.0049,0.0049,-0.0009,-0.00029,,,.\Image\1\Alignment\2019\04\21\01.39.43 519\Left.jpg,.\Image\1\Alignment\2019\04\21\01.39.43 519\Right.jpg
2019.04.21 01:50:09 877,A1CC430LV1D01,1,,RETRY,780.7262,640.6364,794.0838,654.4972,-0.0511,-0.0094,0.1475,-0.00192,,,.\Image\1\Alignment\2019\04\21\01.50.09 877\Left.jpg,.\Image\1\Alignment\2019\04\21\01.50.09 877\Right.jpg
2019.04.21 01:50:10 722,A1CC430LV1D01,1,,OK,800.9828,598.7561,800.0773,600.4611,0.0042,0.0014,-0.0012,-0.00024,,,.\Image\1\Alignment\2019\04\21\01.50.10 722\Left.jpg,.\Image\1\Alignment\2019\04\21\01.50.10 722\Right.jpg
2019.04.21 02:08:40 457,A1CC430LV1D01,1,,RETRY,793.9316,633.1882,805.3229,644.677,-0.0115,0.0239,0.1208,-0.00159,,,.\Image\1\Alignment\2019\04\21\02.08.40 457\Left.jpg,.\Image\1\Alignment\2019\04\21\02.08.40 457\Right.jpg
2019.04.21 02:08:41 090,A1CC430LV1D01,1,,OK,800.2032,599.6445,800.3528,600.1501,0.001,0.0014,-0.0003,-7E-05,,,.\Image\1\Alignment\2019\04\21\02.08.41 090\Left.jpg,.\Image\1\Alignment\2019\04\21\02.08.41 090\Right.jpg
