DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.02 00:00:00 330,50inch rev,1,,OK,799.4799,600.0953,799.1134,599.3469,-0.001,-0.0021,-0.0009,0.00012,1,00:00:00.8260000,.\Image\1\Alignment\2019\04\02\00.00.00 330\Left.jpg,.\Image\1\Alignment\2019\04\02\00.00.00 330\Right.jpg
2019.04.02 00:00:00 700,50inch rev,2,,RETRY,802.5203,599.229,801.7871,601.2065,0.0024,0.0001,0.0007,-0.00056,2,00:00:00,.\Image\2\Alignment\2019\04\02\00.00.00 700\Left.jpg,.\Image\2\Alignment\2019\04\02\00.00.00 700\Right.jpg
2019.04.02 00:00:01 249,50inch rev,2,,RETRY,797.9046,600.7716,798.4099,598.8271,-0.0012,0.0004,-0.0006,0.00055,3,00:00:00,.\Image\2\Alignment\2019\04\02\00.00.01 249\Left.jpg,.\Image\2\Alignment\2019\04\02\00.00.01 249\Right.jpg
2019.04.02 00:00:02 279,50inch rev,2,,OK,798.9668,600.3396,798.9501,599.5403,-0.001,-0.0011,-0.0002,0.00023,3,00:00:02.5530000,.\Image\2\Alignment\2019\04\02\00.00.02 279\Left.jpg,.\Image\2\Alignment\2019\04\02\00.00.02 279\Right.jpg
2019.04.02 00:00:19 918,50inch rev,1,,RETRY,876.043,529.8495,886.1136,573.654,0.198,0.2279,-0.1497,-0.00707,1,00:00:00,.\Image\1\Alignment\2019\04\02\00.00.19 918\Left.jpg,.\Image\1\Alignment\2019\04\02\00.00.19 918\Right.jpg
2019.04.02 00:00:20 147,50inch rev,2,,RETRY,637.9328,571.0461,649.3932,623.6145,-0.6434,-0.6065,-0.0079,-0.01483,1,00:00:00,.\Image\2\Alignment\2019\04\02\00.00.20 147\Left.jpg,.\Image\2\Alignment\2019\04\02\00.00.20 147\Right.jpg
2019.04.02 00:00:20 584,50inch rev,1,,OK,799.3523,599.9069,799.5555,598.7537,-0.001,-0.0004,-0.0021,0.00018,1,00:00:00.8710000,.\Image\1\Alignment\2019\04\02\00.00.20 584\Left.jpg,.\Image\1\Alignment\2019\04\02\00.00.20 584\Right.jpg
2019.04.02 00:00:20 909,50inch rev,2,,OK,800.5977,599.9186,800.3352,600.4612,0.0004,-0.0004,0.0006,-0.00015,1,00:00:01.0340000,.\Image\2\Alignment\2019\04\02\00.00.20 909\Left.jpg,.\Image\2\Alignment\2019\04\02\00.00.20 909\Right.jpg
2019.04.02 00:00:38 074,50inch rev,1,,RETRY,871.9945,522.6265,882.1235,588.4831,0.166,0.1962,-0.1379,-0.01061,1,00:00:00,.\Image\1\Alignment\2019\04\02\00.00.38 074\Left.jpg,.\Image\1\Alignment\2019\04\02\00.00.38 074\Right.jpg
2019.04.02 00:00:38 308,50inch rev,2,,RETRY,641.5594,561.404,652.317,609.4961,-0.6202,-0.5855,-0.0445,-0.01358,1,00:00:00,.\Image\2\Alignment\2019\04\02\00.00.38 308\Left.jpg,.\Image\2\Alignment\2019\04\02\00.00.38 308\Right.jpg
2019.04.02 00:00:38 751,50inch rev,1,,OK,799.9285,599.8991,799.7453,599.813,-0.0001,-0.0007,-0.0004,1E-05,1,00:00:00.8210000,.\Image\1\Alignment\2019\04\02\00.00.38 751\Left.jpg,.\Image\1\Alignment\2019\04\02\00.00.38 751\Right.jpg
2019.04.02 00:00:39 448,50inch rev,2,,OK,799.4577,600.1948,799.9966,600.3994,-0.0022,-0.0006,0.0009,-6E-05,1,00:00:01.3510000,.\Image\2\Alignment\2019\04\02\00.00.39 448\Left.jpg,.\Image\2\Alignment\2019\04\02\00.00.39 448\Right.jpg
2019.04.02 00:00:56 738,50inch rev,1,,RETRY,877.3981,502.7191,887.5977,592.7508,0.1616,0.1919,-0.1622,-0.01449,1,00:00:00,.\Image\1\Alignment\2019\04\02\00.00.56 738\Left.jpg,.\Image\1\Alignment\2019\04\02\00.00.56 738\Right.jpg
2019.04.02 00:00:56 981,50inch rev,2,,RETRY,650.0995,570.6022,661.5297,622.2407,-0.6034,-0.5666,-0.0107,-0.01457,1,00:00:00,.\Image\2\Alignment\2019\04\02\00.00.56 981\Left.jpg,.\Image\2\Alignment\2019\04\02\00.00.56 981\Right.jpg
2019.04.02 00:00:57 497,50inch rev,1,,RETRY,801.4532,597.5362,801.0768,602.4579,0.0002,-0.001,0,-0.00079,2,00:00:00,.\Image\1\Alignment\2019\04\02\00.00.57 497\Left.jpg,.\Image\1\Alignment\2019\04\02\00.00.57 497\Right.jpg
2019.04.02 00:00:57 581,50inch rev,2,,OK,801.1129,599.7407,800.7349,600.4906,0.0014,0.0002,0.0003,-0.00021,1,00:00:00.7680000,.\Image\2\Alignment\2019\04\02\00.00.57 581\Left.jpg,.\Image\2\Alignment\2019\04\02\00.00.57 581\Right.jpg
2019.04.02 00:00:58 399,50inch rev,1,,RETRY,798.7508,602.8009,799.126,594.7985,0.0031,0.0043,-0.0037,0.00128,3,00:00:00,.\Image\1\Alignment\2019\04\02\00.00.58 399\Left.jpg,.\Image\1\Alignment\2019\04\02\00.00.58 399\Right.jpg
2019.04.02 00:00:59 395,50inch rev,1,,RETRY,800.7575,597.4327,800.7731,602.7978,-0.0023,-0.0023,0.0003,-0.00086,4,00:00:00,.\Image\1\Alignment\2019\04\02\00.00.59 395\Left.jpg,.\Image\1\Alignment\2019\04\02\00.00.59 395\Right.jpg
2019.04.02 00:01:00 717,50inch rev,1,,RETRY,800.8309,600.2395,800.6244,603.3948,-0.0002,-0.0008,0.0056,-0.0005,5,00:00:00,.\Image\1\Alignment\2019\04\02\00.01.00 717\Left.jpg,.\Image\1\Alignment\2019\04\02\00.01.00 717\Right.jpg
2019.04.02 00:01:01 303,50inch rev,1,,OK,799.9521,600.2153,799.7199,600.1808,-0.0001,-0.0008,0.0006,1E-05,5,00:00:04.6470000,.\Image\1\Alignment\2019\04\02\00.01.01 303\Left.jpg,.\Image\1\Alignment\2019\04\02\00.01.01 303\Right.jpg
2019.04.02 00:01:16 739,50inch rev,1,,RETRY,877.0825,511.712,886.8822,601.9041,0.1605,0.1896,-0.1341,-0.01451,1,00:00:00,.\Image\1\Alignment\2019\04\02\00.01.16 739\Left.jpg,.\Image\1\Alignment\2019\04\02\00.01.16 739\Right.jpg
2019.04.02 00:01:16 971,50inch rev,2,,RETRY,641.9405,554.3882,653.0526,621.6365,-0.6711,-0.6352,-0.0366,-0.019,1,00:00:00,.\Image\2\Alignment\2019\04\02\00.01.16 971\Left.jpg,.\Image\2\Alignment\2019\04\02\00.01.16 971\Right.jpg
2019.04.02 00:01:17 486,50inch rev,1,,RETRY,801.254,597.4367,801.1936,602.6433,-0.0007,-0.0009,0.0001,-0.00084,2,00:00:00,.\Image\1\Alignment\2019\04\02\00.01.17 486\Left.jpg,.\Image\1\Alignment\2019\04\02\00.01.17 486\Right.jpg
2019.04.02 00:01:17 572,50inch rev,2,,OK,801.2149,599.6221,801.1801,600.9147,0.0002,0.0001,0.0008,-0.00037,1,00:00:00.8200000,.\Image\2\Alignment\2019\04\02\00.01.17 572\Left.jpg,.\Image\2\Alignment\2019\04\02\00.01.17 572\Right.jpg
2019.04.02 00:01:18 779,50inch rev,1,,OK,800.9957,599.0041,801.2681,601.1638,0.0012,0.002,0.0003,-0.00035,2,00:00:02.2120000,.\Image\1\Alignment\2019\04\02\00.01.18 779\Left.jpg,.\Image\1\Alignment\2019\04\02\00.01.18 779\Right.jpg
2019.04.02 00:01:35 157,50inch rev,1,,RETRY,870.4884,511.4178,880.0764,569.3119,0.1683,0.1968,-0.185,-0.00934,1,00:00:00,.\Image\1\Alignment\2019\04\02\00.01.35 157\Left.jpg,.\Image\1\Alignment\2019\04\02\00.01.35 157\Right.jpg
