DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.08 00:03:11 392,A1CC500PV3D01,1,,RETRY,854.621,514.9675,868.7036,564.1285,0.1264,0.1692,-0.1876,-0.00798,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.03.11 392\Left.jpg,.\Image\1\Alignment\2019\04\08\00.03.11 392\Right.jpg
2019.04.08 00:03:11 646,A1CC500PV3D01,2,,RETRY,646.8669,578.3864,657.7113,637.5384,-0.6328,-0.5975,0.0223,-0.01664,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.03.11 646\Left.jpg,.\Image\2\Alignment\2019\04\08\00.03.11 646\Right.jpg
2019.04.08 00:03:12 077,A1CC500PV3D01,1,,OK,799.8666,599.9636,799.3011,599.342,0.0001,-0.0016,-0.0011,0.0001,1,00:00:00.8410000,.\Image\1\Alignment\2019\04\08\00.03.12 077\Left.jpg,.\Image\1\Alignment\2019\04\08\00.03.12 077\Right.jpg
2019.04.08 00:03:12 563,A1CC500PV3D01,2,,OK,799.0288,601.6119,799.2151,600.6039,-0.0003,0.0003,0.0035,0.00029,1,00:00:01.1420000,.\Image\2\Alignment\2019\04\08\00.03.12 563\Left.jpg,.\Image\2\Alignment\2019\04\08\00.03.12 563\Right.jpg
2019.04.08 00:03:31 397,A1CC500PV3D01,1,,RETRY,859.6706,517.7275,874.5655,568.445,0.1408,0.186,-0.1766,-0.00822,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.03.31 397\Left.jpg,.\Image\1\Alignment\2019\04\08\00.03.31 397\Right.jpg
2019.04.08 00:03:31 763,A1CC500PV3D01,2,,RETRY,649.6745,573.153,660.7965,641.6782,-0.6496,-0.6134,0.0202,-0.01929,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.03.31 763\Left.jpg,.\Image\2\Alignment\2019\04\08\00.03.31 763\Right.jpg
2019.04.08 00:03:32 101,A1CC500PV3D01,1,,OK,799.7979,599.0206,799.1679,599.2692,-0.0009,-0.0028,-0.0027,-4E-05,1,00:00:00.7980000,.\Image\1\Alignment\2019\04\08\00.03.32 101\Left.jpg,.\Image\1\Alignment\2019\04\08\00.03.32 101\Right.jpg
2019.04.08 00:03:32 396,A1CC500PV3D01,2,,OK,799.3214,602.7316,799.4767,601.5176,0.0012,0.0017,0.0066,0.00035,1,00:00:00.9630000,.\Image\2\Alignment\2019\04\08\00.03.32 396\Left.jpg,.\Image\2\Alignment\2019\04\08\00.03.32 396\Right.jpg
2019.04.08 00:04:03 417,A1CC500PV3D01,1,,RETRY,850.1237,534.4468,864.1788,559.4919,0.1336,0.1765,-0.1645,-0.00408,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.04.03 417\Left.jpg,.\Image\1\Alignment\2019\04\08\00.04.03 417\Right.jpg
2019.04.08 00:04:03 626,A1CC500PV3D01,2,,RETRY,650.2588,560.5539,661.2186,624.6038,-0.6359,-0.6002,-0.0253,-0.01804,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.04.03 626\Left.jpg,.\Image\2\Alignment\2019\04\08\00.04.03 626\Right.jpg
2019.04.08 00:04:04 469,A1CC500PV3D01,1,,OK,799.5119,600.6091,799.4187,599.0849,-0.0002,-0.0005,-0.0005,0.00025,1,00:00:01.2920000,.\Image\1\Alignment\2019\04\08\00.04.04 469\Left.jpg,.\Image\1\Alignment\2019\04\08\00.04.04 469\Right.jpg
2019.04.08 00:04:04 539,A1CC500PV3D01,2,,OK,799.5768,600.9151,799.6207,600.7646,-0.0009,-0.0007,0.0026,4E-05,1,00:00:01.1860000,.\Image\2\Alignment\2019\04\08\00.04.04 539\Left.jpg,.\Image\2\Alignment\2019\04\08\00.04.04 539\Right.jpg
2019.04.08 00:04:30 318,A1CC500PV3D01,1,,RETRY,859.8694,521.4114,874.0441,567.4203,0.1455,0.1886,-0.1725,-0.00746,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.04.30 318\Left.jpg,.\Image\1\Alignment\2019\04\08\00.04.30 318\Right.jpg
2019.04.08 00:04:30 467,A1CC500PV3D01,2,,RETRY,653.6546,571.3794,664.9921,634.5501,-0.6229,-0.5861,0.0067,-0.01778,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.04.30 467\Left.jpg,.\Image\2\Alignment\2019\04\08\00.04.30 467\Right.jpg
2019.04.08 00:04:31 022,A1CC500PV3D01,1,,OK,799.8918,599.8612,799.7898,599.7023,-0.0002,-0.0005,-0.0007,3E-05,1,00:00:00.9910000,.\Image\1\Alignment\2019\04\08\00.04.31 022\Left.jpg,.\Image\1\Alignment\2019\04\08\00.04.31 022\Right.jpg
2019.04.08 00:04:31 376,A1CC500PV3D01,2,,OK,800.2344,600.5255,800.3507,600.7972,0,0.0004,0.002,-8E-05,1,00:00:01.1870000,.\Image\2\Alignment\2019\04\08\00.04.31 376\Left.jpg,.\Image\2\Alignment\2019\04\08\00.04.31 376\Right.jpg
2019.04.08 00:04:50 172,A1CC500PV3D01,1,,RETRY,842.3423,538.8892,856.0429,564.1069,0.1093,0.1511,-0.1505,-0.0041,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.04.50 172\Left.jpg,.\Image\1\Alignment\2019\04\08\00.04.50 172\Right.jpg
2019.04.08 00:04:50 475,A1CC500PV3D01,2,,RETRY,653.1576,568.6776,664.3677,635.0195,-0.633,-0.5966,0.0031,-0.01868,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.04.50 475\Left.jpg,.\Image\2\Alignment\2019\04\08\00.04.50 475\Right.jpg
2019.04.08 00:04:50 741,A1CC500PV3D01,1,,OK,798.9943,601.2361,798.7725,598.5055,-0.0007,-0.0014,-0.0004,0.00044,1,00:00:00.7760000,.\Image\1\Alignment\2019\04\08\00.04.50 741\Left.jpg,.\Image\1\Alignment\2019\04\08\00.04.50 741\Right.jpg
2019.04.08 00:04:51 414,A1CC500PV3D01,2,,OK,799.9659,601.8921,799.9629,602.0303,-0.0005,-0.0005,0.006,-4E-05,1,00:00:01.2310000,.\Image\2\Alignment\2019\04\08\00.04.51 414\Left.jpg,.\Image\2\Alignment\2019\04\08\00.04.51 414\Right.jpg
2019.04.08 00:05:10 673,A1CC500PV3D01,1,,RETRY,858.5139,524.3006,872.2054,577.5729,0.135,0.1765,-0.1523,-0.00863,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.05.10 673\Left.jpg,.\Image\1\Alignment\2019\04\08\00.05.10 673\Right.jpg
2019.04.08 00:05:10 750,A1CC500PV3D01,2,,RETRY,662.6802,579.6918,673.606,649.2651,-0.6122,-0.5767,0.0418,-0.01958,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.05.10 750\Left.jpg,.\Image\2\Alignment\2019\04\08\00.05.10 750\Right.jpg
2019.04.08 00:05:11 406,A1CC500PV3D01,2,,OK,799.4456,601.8594,799.4859,601.1485,0.0002,0.0004,0.0047,0.0002,1,00:00:00.7660000,.\Image\2\Alignment\2019\04\08\00.05.11 406\Left.jpg,.\Image\2\Alignment\2019\04\08\00.05.11 406\Right.jpg
2019.04.08 00:05:11 594,A1CC500PV3D01,1,,OK,799.5751,600.8745,799.6298,599.5876,-0.0002,0,0.0007,0.00021,1,00:00:01.0490000,.\Image\1\Alignment\2019\04\08\00.05.11 594\Left.jpg,.\Image\1\Alignment\2019\04\08\00.05.11 594\Right.jpg
2019.04.08 00:05:33 086,A1CC500PV3D01,1,,RETRY,852.2358,521.8448,866.0982,565.2304,0.1241,0.1663,-0.1752,-0.00704,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.05.33 086\Left.jpg,.\Image\1\Alignment\2019\04\08\00.05.33 086\Right.jpg
2019.04.08 00:05:33 491,A1CC500PV3D01,2,,RETRY,659.4431,568.5472,670.3953,634.3394,-0.6121,-0.5766,0.0019,-0.01853,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.05.33 491\Left.jpg,.\Image\2\Alignment\2019\04\08\00.05.33 491\Right.jpg
2019.04.08 00:05:33 733,A1CC500PV3D01,1,,OK,799.7148,600.5757,799.6062,600.0964,-0.0005,-0.0008,0.001,8E-05,1,00:00:00.7570000,.\Image\1\Alignment\2019\04\08\00.05.33 733\Left.jpg,.\Image\1\Alignment\2019\04\08\00.05.33 733\Right.jpg
2019.04.08 00:05:34 443,A1CC500PV3D01,2,,OK,799.6597,601.1809,799.5788,601.4191,-0.0017,-0.0019,0.004,-7E-05,1,00:00:01.3360000,.\Image\2\Alignment\2019\04\08\00.05.34 443\Left.jpg,.\Image\2\Alignment\2019\04\08\00.05.34 443\Right.jpg
2019.04.08 00:05:51 684,A1CC500PV3D01,1,,RETRY,847.9882,530.3195,861.6636,571.1177,0.1132,0.1548,-0.1529,-0.00662,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.05.51 684\Left.jpg,.\Image\1\Alignment\2019\04\08\00.05.51 684\Right.jpg
2019.04.08 00:05:51 735,A1CC500PV3D01,2,,RETRY,652.1888,567.3736,662.5656,632.8721,-0.6337,-0.5999,-0.0022,-0.01844,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.05.51 735\Left.jpg,.\Image\2\Alignment\2019\04\08\00.05.51 735\Right.jpg
2019.04.08 00:05:52 418,A1CC500PV3D01,2,,OK,799.6082,601.5871,799.7584,601.138,0,0.0005,0.0042,0.00013,1,00:00:00.8090000,.\Image\2\Alignment\2019\04\08\00.05.52 418\Left.jpg,.\Image\2\Alignment\2019\04\08\00.05.52 418\Right.jpg
2019.04.08 00:05:52 646,A1CC500PV3D01,1,,OK,799.3913,600.5987,799.5964,598.8703,-0.0004,0.0003,-0.0008,0.00028,1,00:00:01.2040000,.\Image\1\Alignment\2019\04\08\00.05.52 646\Left.jpg,.\Image\1\Alignment\2019\04\08\00.05.52 646\Right.jpg
2019.04.08 00:06:45 018,A1CC500PV3D01,1,,RETRY,856.6471,519.4103,871.0013,569.4595,0.132,0.1756,-0.1724,-0.00812,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.06.45 018\Left.jpg,.\Image\1\Alignment\2019\04\08\00.06.45 018\Right.jpg
2019.04.08 00:06:45 332,A1CC500PV3D01,2,,RETRY,656.7982,575.3703,667.4292,635.2572,-0.6042,-0.5696,0.014,-0.01686,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.06.45 332\Left.jpg,.\Image\2\Alignment\2019\04\08\00.06.45 332\Right.jpg
2019.04.08 00:06:45 678,A1CC500PV3D01,1,,OK,799.7316,600.4794,799.3156,599.1922,0.0003,-0.001,-0.0005,0.00021,1,00:00:00.7840000,.\Image\1\Alignment\2019\04\08\00.06.45 678\Left.jpg,.\Image\1\Alignment\2019\04\08\00.06.45 678\Right.jpg
2019.04.08 00:06:45 905,A1CC500PV3D01,2,,OK,800.1767,600.3481,800.9835,601.8687,-0.0036,-0.0011,0.0033,-0.00043,1,00:00:00.8630000,.\Image\2\Alignment\2019\04\08\00.06.45 905\Left.jpg,.\Image\2\Alignment\2019\04\08\00.06.45 905\Right.jpg
2019.04.08 00:07:05 185,A1CC500PV3D01,1,,RETRY,849.5124,539.2105,863.3757,565.4383,0.1307,0.173,-0.1479,-0.00427,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.07.05 185\Left.jpg,.\Image\1\Alignment\2019\04\08\00.07.05 185\Right.jpg
2019.04.08 00:07:05 422,A1CC500PV3D01,2,,RETRY,651.1232,570.6622,661.9184,635.7716,-0.6359,-0.6007,0.0074,-0.01833,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.07.05 422\Left.jpg,.\Image\2\Alignment\2019\04\08\00.07.05 422\Right.jpg
2019.04.08 00:07:05 779,A1CC500PV3D01,1,,OK,798.9693,601.7748,798.6368,598.7209,-0.0005,-0.0015,0.0008,0.00049,1,00:00:00.8660000,.\Image\1\Alignment\2019\04\08\00.07.05 779\Left.jpg,.\Image\1\Alignment\2019\04\08\00.07.05 779\Right.jpg
2019.04.08 00:07:06 382,A1CC500PV3D01,2,,OK,799.3858,601.7237,799.4677,600.6932,0.0009,0.0012,0.0038,0.00029,1,00:00:01.3120000,.\Image\2\Alignment\2019\04\08\00.07.06 382\Left.jpg,.\Image\2\Alignment\2019\04\08\00.07.06 382\Right.jpg
2019.04.08 00:07:23 187,A1CC500PV3D01,1,,RETRY,842.6908,557.2961,856.8671,582.3693,0.1106,0.1539,-0.0936,-0.00407,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.07.23 187\Left.jpg,.\Image\1\Alignment\2019\04\08\00.07.23 187\Right.jpg
2019.04.08 00:07:23 222,A1CC500PV3D01,2,,RETRY,654.531,564.7555,665.3563,624.5227,-0.6111,-0.5759,-0.0188,-0.01683,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.07.23 222\Left.jpg,.\Image\2\Alignment\2019\04\08\00.07.23 222\Right.jpg
2019.04.08 00:07:23 888,A1CC500PV3D01,1,,OK,799.4787,600.7324,798.9917,598.9717,-0.0001,-0.0016,-0.0005,0.00028,1,00:00:00.9030000,.\Image\1\Alignment\2019\04\08\00.07.23 888\Left.jpg,.\Image\1\Alignment\2019\04\08\00.07.23 888\Right.jpg
2019.04.08 00:07:23 989,A1CC500PV3D01,2,,OK,800.9241,599.9801,801.3831,601.6307,-0.0016,-0.0002,0.0024,-0.00046,1,00:00:00.9020000,.\Image\2\Alignment\2019\04\08\00.07.23 989\Left.jpg,.\Image\2\Alignment\2019\04\08\00.07.23 989\Right.jpg
2019.04.08 00:07:43 245,A1CC500PV3D01,1,,RETRY,841.4479,539.9643,855.3863,570.2291,0.1021,0.1447,-0.1393,-0.00492,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.07.43 245\Left.jpg,.\Image\1\Alignment\2019\04\08\00.07.43 245\Right.jpg
2019.04.08 00:07:43 441,A1CC500PV3D01,2,,RETRY,672.6857,583.5309,683.6824,644.5479,-0.5581,-0.5226,0.0408,-0.01717,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.07.43 441\Left.jpg,.\Image\2\Alignment\2019\04\08\00.07.43 441\Right.jpg
2019.04.08 00:07:43 861,A1CC500PV3D01,1,,OK,799.6459,600.5287,798.9496,598.5878,0.0006,-0.0016,-0.0014,0.00031,1,00:00:00.8530000,.\Image\1\Alignment\2019\04\08\00.07.43 861\Left.jpg,.\Image\1\Alignment\2019\04\08\00.07.43 861\Right.jpg
2019.04.08 00:07:44 427,A1CC500PV3D01,2,,OK,799.4606,601.4416,799.925,601.7603,-0.0025,-0.0011,0.0049,-9E-05,1,00:00:01.2420000,.\Image\2\Alignment\2019\04\08\00.07.44 427\Left.jpg,.\Image\2\Alignment\2019\04\08\00.07.44 427\Right.jpg
2019.04.08 00:08:01 196,A1CC500PV3D01,1,,RETRY,833.9499,531.5712,847.7849,526.5068,0.1096,0.152,-0.22,0.00077,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.08.01 196\Left.jpg,.\Image\1\Alignment\2019\04\08\00.08.01 196\Right.jpg
2019.04.08 00:08:01 505,A1CC500PV3D01,2,,RETRY,663.8904,569.8365,675.0783,638.5619,-0.6063,-0.5701,0.0102,-0.01935,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.08.01 505\Left.jpg,.\Image\2\Alignment\2019\04\08\00.08.01 505\Right.jpg
2019.04.08 00:08:01 939,A1CC500PV3D01,1,,OK,799.8119,600.4638,799.5521,599.9835,-0.0002,-0.001,0.0007,8E-05,1,00:00:00.8740000,.\Image\1\Alignment\2019\04\08\00.08.01 939\Left.jpg,.\Image\1\Alignment\2019\04\08\00.08.01 939\Right.jpg
2019.04.08 00:08:02 492,A1CC500PV3D01,2,,OK,799.1646,601.1327,799.2351,600.7893,-0.0016,-0.0014,0.003,0.0001,1,00:00:01.1870000,.\Image\2\Alignment\2019\04\08\00.08.02 492\Left.jpg,.\Image\2\Alignment\2019\04\08\00.08.02 492\Right.jpg
2019.04.08 00:08:20 106,A1CC500PV3D01,1,,RETRY,844.805,522.0863,858.0704,565.6475,0.1008,0.1413,-0.1742,-0.00707,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.08.20 106\Left.jpg,.\Image\1\Alignment\2019\04\08\00.08.20 106\Right.jpg
2019.04.08 00:08:20 167,A1CC500PV3D01,2,,RETRY,637.2105,576.4833,647.9534,638.4714,-0.6703,-0.6351,0.0207,-0.01744,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.08.20 167\Left.jpg,.\Image\2\Alignment\2019\04\08\00.08.20 167\Right.jpg
2019.04.08 00:08:20 875,A1CC500PV3D01,1,,OK,799.694,600.3505,799.5427,599.45,-0.0002,-0.0006,-0.0003,0.00015,1,00:00:01.0650000,.\Image\1\Alignment\2019\04\08\00.08.20 875\Left.jpg,.\Image\1\Alignment\2019\04\08\00.08.20 875\Right.jpg
2019.04.08 00:08:21 048,A1CC500PV3D01,2,,OK,800.9023,600.4702,800.7795,601.5154,0,-0.0004,0.003,-0.00029,1,00:00:01.0860000,.\Image\2\Alignment\2019\04\08\00.08.21 048\Left.jpg,.\Image\2\Alignment\2019\04\08\00.08.21 048\Right.jpg
2019.04.08 00:09:02 481,A1CC500PV3D01,1,,RETRY,855.7853,538.0594,869.7377,589.2765,0.1284,0.1708,-0.1128,-0.00829,1,00:00:00,.\Image\1\Alignment\2019\04\08\00.09.02 481\Left.jpg,.\Image\1\Alignment\2019\04\08\00.09.02 481\Right.jpg
2019.04.08 00:09:02 647,A1CC500PV3D01,2,,RETRY,644.9751,580.4929,655.7772,635.6036,-0.6277,-0.5925,0.0227,-0.0155,1,00:00:00,.\Image\2\Alignment\2019\04\08\00.09.02 647\Left.jpg,.\Image\2\Alignment\2019\04\08\00.09.02 647\Right.jpg
2019.04.08 00:09:03 594,A1CC500PV3D01,2,,OK,799.099,601.7217,799.324,600.8533,-0.0004,0.0003,0.004,0.00025,1,00:00:01.0710000,.\Image\2\Alignment\2019\04\08\00.09.03 594\Left.jpg,.\Image\2\Alignment\2019\04\08\00.09.03 594\Right.jpg
