DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.01 00:00:27 797,50inch rev,1,,RETRY,857.7227,519.1277,867.8617,564.8244,0.1393,0.1697,-0.18,-0.00738,1,00:00:00,.\Image\1\Alignment\2019\04\01\00.00.27 797\Left.jpg,.\Image\1\Alignment\2019\04\01\00.00.27 797\Right.jpg
2019.04.01 00:00:28 114,50inch rev,2,,RETRY,639.8539,568.9824,651.9551,629.4192,-0.6589,-0.62,-0.0022,-0.01706,1,00:00:00,.\Image\2\Alignment\2019\04\01\00.00.28 114\Left.jpg,.\Image\2\Alignment\2019\04\01\00.00.28 114\Right.jpg
2019.04.01 00:00:28 619,50inch rev,1,,OK,799.5734,600.1666,799.5126,599.6977,-0.0009,-0.0011,-0.0002,8E-05,1,00:00:00.9240000,.\Image\1\Alignment\2019\04\01\00.00.28 619\Left.jpg,.\Image\1\Alignment\2019\04\01\00.00.28 619\Right.jpg
2019.04.01 00:00:28 744,50inch rev,2,,OK,801.5131,599.4738,801.0702,600.829,0.001,-0.0004,0.0005,-0.00038,1,00:00:00.8260000,.\Image\2\Alignment\2019\04\01\00.00.28 744\Left.jpg,.\Image\2\Alignment\2019\04\01\00.00.28 744\Right.jpg
2019.04.01 00:00:48 174,50inch rev,2,,RETRY,632.5581,574.9901,644.672,628.2634,-0.6619,-0.6229,0.0053,-0.01503,1,00:00:00,.\Image\2\Alignment\2019\04\01\00.00.48 174\Left.jpg,.\Image\2\Alignment\2019\04\01\00.00.48 174\Right.jpg
2019.04.01 00:00:48 188,50inch rev,1,,RETRY,843.8842,547.8992,854.1924,550.8302,0.1338,0.165,-0.157,-0.00052,1,00:00:00,.\Image\1\Alignment\2019\04\01\00.00.48 188\Left.jpg,.\Image\1\Alignment\2019\04\01\00.00.48 188\Right.jpg
2019.04.01 00:00:48 815,50inch rev,2,,OK,801.3823,599.7927,801.1817,600.7008,0.0018,0.0012,0.0008,-0.00026,1,00:00:00.8700000,.\Image\2\Alignment\2019\04\01\00.00.48 815\Left.jpg,.\Image\2\Alignment\2019\04\01\00.00.48 815\Right.jpg
2019.04.01 00:00:49 005,50inch rev,1,,OK,799.879,600.2477,799.845,599.9859,-0.0001,-0.0002,0.0004,4E-05,1,00:00:01.1160000,.\Image\1\Alignment\2019\04\01\00.00.49 005\Left.jpg,.\Image\1\Alignment\2019\04\01\00.00.49 005\Right.jpg
2019.04.01 00:01:07 793,50inch rev,1,,RETRY,855.0665,514.4523,864.9914,560.3949,0.1308,0.1606,-0.1941,-0.00743,1,00:00:00,.\Image\1\Alignment\2019\04\01\00.01.07 793\Left.jpg,.\Image\1\Alignment\2019\04\01\00.01.07 793\Right.jpg
2019.04.01 00:01:07 863,50inch rev,2,,RETRY,643.055,576.2242,654.9113,636.4666,-0.6484,-0.6102,0.0198,-0.017,1,00:00:00,.\Image\2\Alignment\2019\04\01\00.01.07 863\Left.jpg,.\Image\2\Alignment\2019\04\01\00.01.07 863\Right.jpg
2019.04.01 00:01:08 507,50inch rev,2,,OK,800.2087,599.922,800.0613,599.633,0.0014,0.001,-0.0007,8E-05,1,00:00:00.8460000,.\Image\2\Alignment\2019\04\01\00.01.08 507\Left.jpg,.\Image\2\Alignment\2019\04\01\00.01.08 507\Right.jpg
