DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.27 00:00:05 876,A1CC500PV3D01,2,,RETRY,791.871,567.4606,799.9385,550.0529,0.0211,0.0461,-0.1266,0.00486,1,00:00:00,.\Image\2\Alignment\2019\04\27\00.00.05 876\Left.jpg,.\Image\2\Alignment\2019\04\27\00.00.05 876\Right.jpg
2019.04.27 00:00:06 752,A1CC500PV3D01,2,,OK,799.8138,599.5224,799.7952,599.3748,-0.0002,-0.0002,-0.0017,4E-05,1,00:00:01.1980000,.\Image\2\Alignment\2019\04\27\00.00.06 752\Left.jpg,.\Image\2\Alignment\2019\04\27\00.00.06 752\Right.jpg
2019.04.27 00:00:11 863,A1CC500PV3D01,1,,RETRY,858.9028,570.3542,873.7236,591.8755,0.1642,0.2092,-0.0587,-0.00347,1,00:00:00,.\Image\1\Alignment\2019\04\27\00.00.11 863\Left.jpg,.\Image\1\Alignment\2019\04\27\00.00.11 863\Right.jpg
2019.04.27 00:00:12 781,A1CC500PV3D01,1,,RETRY,801.2151,597.3166,801.3717,602.3991,-0.0007,-0.0002,-0.0005,-0.00082,2,00:00:00,.\Image\1\Alignment\2019\04\27\00.00.12 781\Left.jpg,.\Image\1\Alignment\2019\04\27\00.00.12 781\Right.jpg
2019.04.27 00:00:13 530,A1CC500PV3D01,1,,OK,799.2932,601.4946,799.4009,598.4784,0.0004,0.0008,0,0.00048,2,00:00:01.9050000,.\Image\1\Alignment\2019\04\27\00.00.13 530\Left.jpg,.\Image\1\Alignment\2019\04\27\00.00.13 530\Right.jpg
2019.04.27 00:00:26 987,A1CC500PV3D01,2,,RETRY,799.1012,578.9201,807.1497,570.2277,0.0202,0.045,-0.0781,0.00242,1,00:00:00,.\Image\2\Alignment\2019\04\27\00.00.26 987\Left.jpg,.\Image\2\Alignment\2019\04\27\00.00.26 987\Right.jpg
2019.04.27 00:00:27 649,A1CC500PV3D01,2,,OK,800.1774,600.26,800.2927,600.463,0,0.0004,0.0011,-6E-05,1,00:00:00.7630000,.\Image\2\Alignment\2019\04\27\00.00.27 649\Left.jpg,.\Image\2\Alignment\2019\04\27\00.00.27 649\Right.jpg
2019.04.27 00:00:33 008,A1CC500PV3D01,1,,RETRY,854.2687,553.9709,868.7502,595.6113,0.1321,0.1761,-0.0784,-0.00671,1,00:00:00,.\Image\1\Alignment\2019\04\27\00.00.33 008\Left.jpg,.\Image\1\Alignment\2019\04\27\00.00.33 008\Right.jpg
2019.04.27 00:00:33 721,A1CC500PV3D01,1,,OK,799.9501,599.2788,799.7947,600.5578,-0.0013,-0.0018,-0.0003,-0.00021,1,00:00:00.9700000,.\Image\1\Alignment\2019\04\27\00.00.33 721\Left.jpg,.\Image\1\Alignment\2019\04\27\00.00.33 721\Right.jpg
2019.04.27 00:00:47 331,A1CC500PV3D01,2,,RETRY,826.7459,574.9906,835.2432,587.5495,0.048,0.0739,-0.0576,-0.00358,1,00:00:00,.\Image\2\Alignment\2019\04\27\00.00.47 331\Left.jpg,.\Image\2\Alignment\2019\04\27\00.00.47 331\Right.jpg
2019.04.27 00:00:48 102,A1CC500PV3D01,2,,OK,799.6883,600.1626,799.7397,599.6077,0.0005,0.0007,-0.0004,0.00016,1,00:00:00.8320000,.\Image\2\Alignment\2019\04\27\00.00.48 102\Left.jpg,.\Image\2\Alignment\2019\04\27\00.00.48 102\Right.jpg
2019.04.27 00:00:53 435,A1CC500PV3D01,1,,RETRY,864.2182,545.5436,878.8358,591.2904,0.1594,0.2037,-0.0981,-0.00738,1,00:00:00,.\Image\1\Alignment\2019\04\27\00.00.53 435\Left.jpg,.\Image\1\Alignment\2019\04\27\00.00.53 435\Right.jpg
2019.04.27 00:00:54 179,A1CC500PV3D01,1,,OK,800.606,598.5887,800.1926,601.1668,-0.0004,-0.0017,-0.0004,-0.00041,1,00:00:00.8250000,.\Image\1\Alignment\2019\04\27\00.00.54 179\Left.jpg,.\Image\1\Alignment\2019\04\27\00.00.54 179\Right.jpg
2019.04.27 00:01:07 584,A1CC500PV3D01,2,,RETRY,779.7421,574.2354,787.189,545.6558,0.014,0.0373,-0.1229,0.00801,1,00:00:00,.\Image\2\Alignment\2019\04\27\00.01.07 584\Left.jpg,.\Image\2\Alignment\2019\04\27\00.01.07 584\Right.jpg
2019.04.27 00:01:08 354,A1CC500PV3D01,2,,OK,799.3724,600.5425,799.5541,599.6296,0.0005,0.0011,0.0003,0.00026,1,00:00:00.8690000,.\Image\2\Alignment\2019\04\27\00.01.08 354\Left.jpg,.\Image\2\Alignment\2019\04\27\00.01.08 354\Right.jpg
2019.04.27 00:01:14 223,A1CC500PV3D01,1,,RETRY,863.1527,552.5047,877.7621,603.1342,0.1518,0.1961,-0.069,-0.00815,1,00:00:00,.\Image\1\Alignment\2019\04\27\00.01.14 223\Left.jpg,.\Image\1\Alignment\2019\04\27\00.01.14 223\Right.jpg
