DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.23 00:00:50 660,A1CC430LV1D01,1,,RETRY,774.2377,596.3063,785.1412,572.8831,-0.0646,-0.0304,-0.0478,0.00328,1,00:00:00,.\Image\1\Alignment\2019\04\23\00.00.50 660\Left.jpg,.\Image\1\Alignment\2019\04\23\00.00.50 660\Right.jpg
2019.04.23 00:00:50 874,A1CC430LV1D01,2,,RETRY,804.1378,569.8647,747.9364,592.4102,-0.0337,-0.2069,-0.0583,-0.00564,1,00:00:00,.\Image\2\Alignment\2019\04\23\00.00.50 874\Left.jpg,.\Image\2\Alignment\2019\04\23\00.00.50 874\Right.jpg
2019.04.23 00:00:51 281,A1CC430LV1D01,1,,RETRY,802.102,600.4423,801.4756,599.6923,0.007,0.0051,0.0002,0.00011,2,00:00:00,.\Image\1\Alignment\2019\04\23\00.00.51 281\Left.jpg,.\Image\1\Alignment\2019\04\23\00.00.51 281\Right.jpg
2019.04.23 00:00:51 760,A1CC430LV1D01,2,,RETRY,800.4485,597.0343,800.8849,603.2045,-0.0113,-0.0099,0.0003,-0.00154,2,00:00:00,.\Image\2\Alignment\2019\04\23\00.00.51 760\Left.jpg,.\Image\2\Alignment\2019\04\23\00.00.51 760\Right.jpg
2019.04.23 00:00:52 289,A1CC430LV1D01,1,,OK,798.7903,601.1768,799.1105,598.8408,-0.0022,-0.0012,0,0.00033,2,00:00:01.8370000,.\Image\1\Alignment\2019\04\23\00.00.52 289\Left.jpg,.\Image\1\Alignment\2019\04\23\00.00.52 289\Right.jpg
2019.04.23 00:00:52 457,A1CC430LV1D01,2,,OK,799.1419,599.4296,799.2957,600.4281,-0.0047,-0.0042,-0.0002,-0.00025,2,00:00:01.8710000,.\Image\2\Alignment\2019\04\23\00.00.52 457\Left.jpg,.\Image\2\Alignment\2019\04\23\00.00.52 457\Right.jpg
2019.04.23 00:01:17 571,A1CC430LV1D01,1,,RETRY,759.8466,595.2038,770.7521,546.0747,-0.0922,-0.0579,-0.091,0.00689,1,00:00:00,.\Image\1\Alignment\2019\04\23\00.01.17 571\Left.jpg,.\Image\1\Alignment\2019\04\23\00.01.17 571\Right.jpg
2019.04.23 00:01:17 805,A1CC430LV1D01,2,,RETRY,798.6778,566.4014,743.5734,588.995,-0.0507,-0.2205,-0.0689,-0.00565,1,00:00:00,.\Image\2\Alignment\2019\04\23\00.01.17 805\Left.jpg,.\Image\2\Alignment\2019\04\23\00.01.17 805\Right.jpg
2019.04.23 00:01:18 194,A1CC430LV1D01,1,,RETRY,801.8139,603.2227,801.3057,596.3314,0.0102,0.0087,-0.0007,0.00097,2,00:00:00,.\Image\1\Alignment\2019\04\23\00.01.18 194\Left.jpg,.\Image\1\Alignment\2019\04\23\00.01.18 194\Right.jpg
