DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.07 00:01:39 233,A1CC430LV1D01,1,,RETRY,832.7181,472.6934,863.9805,526.2832,0.0657,0.1618,-0.3118,-0.00761,1,00:00:00,.\Image\1\Alignment\2019\04\07\00.01.39 233\Left.jpg,.\Image\1\Alignment\2019\04\07\00.01.39 233\Right.jpg
2019.04.07 00:01:39 584,A1CC430LV1D01,2,,RETRY,794.5647,610.9198,797.2662,587.8398,0.0306,0.039,-0.0019,0.00576,1,00:00:00,.\Image\2\Alignment\2019\04\07\00.01.39 584\Left.jpg,.\Image\2\Alignment\2019\04\07\00.01.39 584\Right.jpg
2019.04.07 00:01:39 921,A1CC430LV1D01,1,,RETRY,799.469,593.6876,798.872,605.874,-0.0098,-0.0117,-0.0007,-0.00171,2,00:00:00,.\Image\1\Alignment\2019\04\07\00.01.39 921\Left.jpg,.\Image\1\Alignment\2019\04\07\00.01.39 921\Right.jpg
2019.04.07 00:01:40 295,A1CC430LV1D01,2,,RETRY,800.1541,602.5337,800.9736,597.3756,0.0111,0.0136,-0.0001,0.00129,2,00:00:00,.\Image\2\Alignment\2019\04\07\00.01.40 295\Left.jpg,.\Image\2\Alignment\2019\04\07\00.01.40 295\Right.jpg
2019.04.07 00:01:40 811,A1CC430LV1D01,1,,RETRY,800.5655,598.1065,801.0015,601.948,-0.0008,0.0005,0.0001,-0.00054,3,00:00:00,.\Image\1\Alignment\2019\04\07\00.01.40 811\Left.jpg,.\Image\1\Alignment\2019\04\07\00.01.40 811\Right.jpg
2019.04.07 00:01:40 927,A1CC430LV1D01,2,,OK,800.7324,600.0794,800.1386,599.9503,0.0025,0.0007,0,3E-05,2,00:00:01.6700000,.\Image\2\Alignment\2019\04\07\00.01.40 927\Left.jpg,.\Image\2\Alignment\2019\04\07\00.01.40 927\Right.jpg
2019.04.07 00:01:41 798,A1CC430LV1D01,1,,OK,799.8117,600.0895,799.9167,600.5698,-0.0009,-0.0006,0.001,-7E-05,3,00:00:02.6770000,.\Image\1\Alignment\2019\04\07\00.01.41 798\Left.jpg,.\Image\1\Alignment\2019\04\07\00.01.41 798\Right.jpg
2019.04.07 00:01:56 031,A1CC430LV1D01,2,,RETRY,783.1633,617.691,786.3106,571.3446,0.0432,0.053,-0.0169,0.01156,1,00:00:00,.\Image\2\Alignment\2019\04\07\00.01.56 031\Left.jpg,.\Image\2\Alignment\2019\04\07\00.01.56 031\Right.jpg
2019.04.07 00:01:56 652,A1CC430LV1D01,2,,RETRY,801.0221,604.8082,801.4313,595.3081,0.0227,0.0239,0.0002,0.00237,2,00:00:00,.\Image\2\Alignment\2019\04\07\00.01.56 652\Left.jpg,.\Image\2\Alignment\2019\04\07\00.01.56 652\Right.jpg
2019.04.07 00:01:57 180,A1CC430LV1D01,1,,RETRY,824.5314,478.2535,855.7974,520.6262,0.0478,0.144,-0.3119,-0.00603,1,00:00:00,.\Image\1\Alignment\2019\04\07\00.01.57 180\Left.jpg,.\Image\1\Alignment\2019\04\07\00.01.57 180\Right.jpg
2019.04.07 00:01:57 393,A1CC430LV1D01,2,,RETRY,799.1633,601.2956,799.19,597.8763,0.0044,0.0045,-0.0013,0.00085,3,00:00:00,.\Image\2\Alignment\2019\04\07\00.01.57 393\Left.jpg,.\Image\2\Alignment\2019\04\07\00.01.57 393\Right.jpg
2019.04.07 00:01:58 063,A1CC430LV1D01,1,,RETRY,799.4181,595.7787,799.0527,604.7933,-0.0078,-0.009,0.0009,-0.00127,2,00:00:00,.\Image\1\Alignment\2019\04\07\00.01.58 063\Left.jpg,.\Image\1\Alignment\2019\04\07\00.01.58 063\Right.jpg
