DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.17 00:00:04 881,50inch rev,1,,RETRY,851.5732,502.913,856.2395,563.2234,0.1073,0.1208,-0.2077,-0.00973,1,00:00:00,.\Image\1\Alignment\2019\04\17\00.00.04 881\Left.jpg,.\Image\1\Alignment\2019\04\17\00.00.04 881\Right.jpg
2019.04.17 00:00:05 109,50inch rev,2,,RETRY,623.2486,579.5088,634.5516,633.298,-0.692,-0.6554,0.0201,-0.01517,1,00:00:00,.\Image\2\Alignment\2019\04\17\00.00.05 109\Left.jpg,.\Image\2\Alignment\2019\04\17\00.00.05 109\Right.jpg
2019.04.17 00:00:05 567,50inch rev,1,,OK,799.3858,600.2323,799.4082,599.0406,-0.0009,-0.0008,-0.0011,0.00019,1,00:00:00.8040000,.\Image\1\Alignment\2019\04\17\00.00.05 567\Left.jpg,.\Image\1\Alignment\2019\04\17\00.00.05 567\Right.jpg
2019.04.17 00:00:06 165,50inch rev,2,,OK,800.3869,599.8288,800.178,599.6847,0.0016,0.0009,-0.0007,4E-05,1,00:00:01.2240000,.\Image\2\Alignment\2019\04\17\00.00.06 165\Left.jpg,.\Image\2\Alignment\2019\04\17\00.00.06 165\Right.jpg
2019.04.17 00:00:24 278,50inch rev,1,,RETRY,866.5826,518.0725,871.5139,544.1572,0.184,0.1982,-0.2136,-0.00424,1,00:00:00,.\Image\1\Alignment\2019\04\17\00.00.24 278\Left.jpg,.\Image\1\Alignment\2019\04\17\00.00.24 278\Right.jpg
2019.04.17 00:00:24 524,50inch rev,2,,RETRY,623.3994,585.1969,634.1485,645.1909,-0.7082,-0.6734,0.0471,-0.01691,1,00:00:00,.\Image\2\Alignment\2019\04\17\00.00.24 524\Left.jpg,.\Image\2\Alignment\2019\04\17\00.00.24 524\Right.jpg
2019.04.17 00:00:25 027,50inch rev,2,,OK,801.45,599.854,801.2399,600.8581,0.0018,0.0011,0.0011,-0.00028,1,00:00:00.6930000,.\Image\2\Alignment\2019\04\17\00.00.25 027\Left.jpg,.\Image\2\Alignment\2019\04\17\00.00.25 027\Right.jpg
2019.04.17 00:00:25 272,50inch rev,1,,OK,799.0038,601.1896,799.3424,598.9587,-0.0011,-0.0001,0.0002,0.00036,1,00:00:01.1080000,.\Image\1\Alignment\2019\04\17\00.00.25 272\Left.jpg,.\Image\1\Alignment\2019\04\17\00.00.25 272\Right.jpg
2019.04.17 00:00:42 377,50inch rev,1,,RETRY,836.5079,542.6723,840.9142,519.6549,0.1335,0.1466,-0.2134,0.00364,1,00:00:00,.\Image\1\Alignment\2019\04\17\00.00.42 377\Left.jpg,.\Image\1\Alignment\2019\04\17\00.00.42 377\Right.jpg
