DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.11 00:00:10 329,A1CC500PV3D01,1,,RETRY,844.1694,508.0197,856.8781,557.0274,0.0942,0.1327,-0.2093,-0.00792,1,00:00:00,.\Image\1\Alignment\2019\04\11\00.00.10 329\Left.jpg,.\Image\1\Alignment\2019\04\11\00.00.10 329\Right.jpg
2019.04.11 00:00:10 538,A1CC500PV3D01,2,,RETRY,630.0988,570.2346,640.1772,629.9253,-0.6869,-0.6542,0.0006,-0.01684,1,00:00:00,.\Image\2\Alignment\2019\04\11\00.00.10 538\Left.jpg,.\Image\2\Alignment\2019\04\11\00.00.10 538\Right.jpg
2019.04.11 00:00:10 905,A1CC500PV3D01,1,,OK,800.0077,599.8228,799.7647,600.5082,-0.0006,-0.0013,0.0005,-0.00011,1,00:00:00.8250000,.\Image\1\Alignment\2019\04\11\00.00.10 905\Left.jpg,.\Image\1\Alignment\2019\04\11\00.00.10 905\Right.jpg
2019.04.11 00:00:11 531,A1CC500PV3D01,2,,OK,800.1331,600.4329,799.8736,599.7889,0.0022,0.0014,0.0003,0.00018,1,00:00:01.2690000,.\Image\2\Alignment\2019\04\11\00.00.11 531\Left.jpg,.\Image\2\Alignment\2019\04\11\00.00.11 531\Right.jpg
2019.04.11 00:00:27 094,A1CC500PV3D01,1,,RETRY,837.3058,519.2037,849.0565,548.6259,0.09,0.1257,-0.205,-0.00478,1,00:00:00,.\Image\1\Alignment\2019\04\11\00.00.27 094\Left.jpg,.\Image\1\Alignment\2019\04\11\00.00.27 094\Right.jpg
2019.04.11 00:00:27 328,A1CC500PV3D01,2,,RETRY,628.4154,578.098,637.8622,640.8599,-0.7004,-0.6695,0.0295,-0.0177,1,00:00:00,.\Image\2\Alignment\2019\04\11\00.00.27 328\Left.jpg,.\Image\2\Alignment\2019\04\11\00.00.27 328\Right.jpg
2019.04.11 00:00:28 079,A1CC500PV3D01,2,,OK,801.3151,599.6293,801.6369,600.8106,0.0009,0.0018,0.0007,-0.00033,1,00:00:00.9970000,.\Image\2\Alignment\2019\04\11\00.00.28 079\Left.jpg,.\Image\2\Alignment\2019\04\11\00.00.28 079\Right.jpg
2019.04.11 00:00:28 093,A1CC500PV3D01,1,,OK,799.4974,600.5247,799.7638,599.8394,-0.001,-0.0001,0.0006,0.00011,1,00:00:01.2060000,.\Image\1\Alignment\2019\04\11\00.00.28 093\Left.jpg,.\Image\1\Alignment\2019\04\11\00.00.28 093\Right.jpg
2019.04.11 00:00:43 532,A1CC500PV3D01,1,,RETRY,840.7402,514.8116,852.5111,550.0722,0.0956,0.1313,-0.2096,-0.00572,1,00:00:00,.\Image\1\Alignment\2019\04\11\00.00.43 532\Left.jpg,.\Image\1\Alignment\2019\04\11\00.00.43 532\Right.jpg
