DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.20 00:03:17 180,A1CC500PV3D01,1,,RETRY,848.2667,541.7594,855.2723,584.3204,0.1126,0.1336,-0.1147,-0.00689,1,00:00:00,.\Image\1\Alignment\2019\04\20\00.03.17 180\Left.jpg,.\Image\1\Alignment\2019\04\20\00.03.17 180\Right.jpg
2019.04.20 00:03:17 439,A1CC500PV3D01,2,,RETRY,642.9838,574.1377,653.1159,632.2607,-0.6421,-0.6089,0.0077,-0.01636,1,00:00:00,.\Image\2\Alignment\2019\04\20\00.03.17 439\Left.jpg,.\Image\2\Alignment\2019\04\20\00.03.17 439\Right.jpg
2019.04.20 00:03:18 440,A1CC500PV3D01,1,,OK,799.332,600.7355,799.5181,599.1202,-0.0007,-0.0001,-0.0002,0.00026,1,00:00:01.3840000,.\Image\1\Alignment\2019\04\20\00.03.18 440\Left.jpg,.\Image\1\Alignment\2019\04\20\00.03.18 440\Right.jpg
2019.04.20 00:03:18 489,A1CC500PV3D01,2,,OK,799.5598,601.2737,799.1894,600.7858,0,-0.0012,0.0032,0.00014,1,00:00:01.2280000,.\Image\2\Alignment\2019\04\20\00.03.18 489\Left.jpg,.\Image\2\Alignment\2019\04\20\00.03.18 489\Right.jpg
2019.04.20 00:03:36 684,A1CC500PV3D01,1,,RETRY,862.944,528.5165,870.4836,584.5451,0.1464,0.1688,-0.1349,-0.00907,1,00:00:00,.\Image\1\Alignment\2019\04\20\00.03.36 684\Left.jpg,.\Image\1\Alignment\2019\04\20\00.03.36 684\Right.jpg
2019.04.20 00:03:36 933,A1CC500PV3D01,2,,RETRY,656.8343,579.9227,666.3478,638.4949,-0.6005,-0.5693,0.0261,-0.01648,1,00:00:00,.\Image\2\Alignment\2019\04\20\00.03.36 933\Left.jpg,.\Image\2\Alignment\2019\04\20\00.03.36 933\Right.jpg
2019.04.20 00:03:37 460,A1CC500PV3D01,1,,OK,799.7001,599.7291,799.5611,599.649,-0.0009,-0.0013,-0.001,1E-05,1,00:00:00.8470000,.\Image\1\Alignment\2019\04\20\00.03.37 460\Left.jpg,.\Image\1\Alignment\2019\04\20\00.03.37 460\Right.jpg
2019.04.20 00:03:37 552,A1CC500PV3D01,2,,OK,799.9916,600.4032,800.335,600.5896,-0.0005,0.0005,0.0015,-5E-05,1,00:00:00.8260000,.\Image\2\Alignment\2019\04\20\00.03.37 552\Left.jpg,.\Image\2\Alignment\2019\04\20\00.03.37 552\Right.jpg
2019.04.20 00:03:56 226,A1CC500PV3D01,1,,RETRY,851.8654,509.457,859.3993,554.1013,0.1218,0.1444,-0.2117,-0.00725,1,00:00:00,.\Image\1\Alignment\2019\04\20\00.03.56 226\Left.jpg,.\Image\1\Alignment\2019\04\20\00.03.56 226\Right.jpg
2019.04.20 00:03:56 394,A1CC500PV3D01,2,,RETRY,656.3428,568.0963,666.257,633.888,-0.6217,-0.5893,0.0005,-0.01853,1,00:00:00,.\Image\2\Alignment\2019\04\20\00.03.56 394\Left.jpg,.\Image\2\Alignment\2019\04\20\00.03.56 394\Right.jpg
2019.04.20 00:03:57 178,A1CC500PV3D01,2,,OK,799.7188,601.5352,799.2191,601.2598,-0.0001,-0.0016,0.0043,8E-05,1,00:00:01.1000000,.\Image\2\Alignment\2019\04\20\00.03.57 178\Left.jpg,.\Image\2\Alignment\2019\04\20\00.03.57 178\Right.jpg
2019.04.20 00:03:57 315,A1CC500PV3D01,1,,OK,799.3501,600.4392,799.5339,598.7914,-0.0006,0,-0.0012,0.00027,1,00:00:01.2610000,.\Image\1\Alignment\2019\04\20\00.03.57 315\Left.jpg,.\Image\1\Alignment\2019\04\20\00.03.57 315\Right.jpg
2019.04.20 00:04:13 856,A1CC500PV3D01,1,,RETRY,843.7178,532.8424,850.6964,563.1539,0.1091,0.1301,-0.1613,-0.00493,1,00:00:00,.\Image\1\Alignment\2019\04\20\00.04.13 856\Left.jpg,.\Image\1\Alignment\2019\04\20\00.04.13 856\Right.jpg
2019.04.20 00:04:14 202,A1CC500PV3D01,2,,RETRY,626.7058,566.9348,636.5955,630.5201,-0.7072,-0.6745,-0.0063,-0.0179,1,00:00:00,.\Image\2\Alignment\2019\04\20\00.04.14 202\Left.jpg,.\Image\2\Alignment\2019\04\20\00.04.14 202\Right.jpg
2019.04.20 00:04:14 509,A1CC500PV3D01,1,,OK,799.2244,601.2118,798.4175,598.8034,-0.0003,-0.0028,0,0.00039,1,00:00:00.7490000,.\Image\1\Alignment\2019\04\20\00.04.14 509\Left.jpg,.\Image\1\Alignment\2019\04\20\00.04.14 509\Right.jpg
2019.04.20 00:04:15 357,A1CC500PV3D01,2,,OK,799.8924,601.6103,799.4987,600.8933,0.0016,0.0004,0.0039,0.0002,1,00:00:01.4820000,.\Image\2\Alignment\2019\04\20\00.04.15 357\Left.jpg,.\Image\2\Alignment\2019\04\20\00.04.15 357\Right.jpg
2019.04.20 00:04:42 997,A1CC500PV3D01,1,,RETRY,865.0485,521.0442,871.6236,577.3248,0.1526,0.1721,-0.1577,-0.00912,1,00:00:00,.\Image\1\Alignment\2019\04\20\00.04.42 997\Left.jpg,.\Image\1\Alignment\2019\04\20\00.04.42 997\Right.jpg
2019.04.20 00:04:43 292,A1CC500PV3D01,2,,RETRY,647.4787,593.6104,657.3113,653.013,-0.6314,-0.5991,0.0695,-0.01669,1,00:00:00,.\Image\2\Alignment\2019\04\20\00.04.43 292\Left.jpg,.\Image\2\Alignment\2019\04\20\00.04.43 292\Right.jpg
2019.04.20 00:04:43 640,A1CC500PV3D01,1,,OK,799.3791,600.8991,798.9853,600.3279,-0.0014,-0.0026,0.0019,9E-05,1,00:00:00.8390000,.\Image\1\Alignment\2019\04\20\00.04.43 640\Left.jpg,.\Image\1\Alignment\2019\04\20\00.04.43 640\Right.jpg
2019.04.20 00:04:44 157,A1CC500PV3D01,2,,OK,800.6848,600.9869,800.0923,601.6741,0.0003,-0.0016,0.0041,-0.00019,1,00:00:01.2040000,.\Image\2\Alignment\2019\04\20\00.04.44 157\Left.jpg,.\Image\2\Alignment\2019\04\20\00.04.44 157\Right.jpg
2019.04.20 00:05:00 012,A1CC500PV3D01,1,,RETRY,862.2826,514.6339,868.7488,578.0944,0.1377,0.1569,-0.1665,-0.01028,1,00:00:00,.\Image\1\Alignment\2019\04\20\00.05.00 012\Left.jpg,.\Image\1\Alignment\2019\04\20\00.05.00 012\Right.jpg
2019.04.20 00:05:00 280,A1CC500PV3D01,2,,RETRY,632.9582,563.9468,642.3654,620.2624,-0.6683,-0.6372,-0.0264,-0.01586,1,00:00:00,.\Image\2\Alignment\2019\04\20\00.05.00 280\Left.jpg,.\Image\2\Alignment\2019\04\20\00.05.00 280\Right.jpg
2019.04.20 00:05:00 668,A1CC500PV3D01,1,,OK,799.4163,600.3629,799.103,599.0411,-0.0007,-0.0016,-0.0009,0.00021,1,00:00:00.8300000,.\Image\1\Alignment\2019\04\20\00.05.00 668\Left.jpg,.\Image\1\Alignment\2019\04\20\00.05.00 668\Right.jpg
2019.04.20 00:05:01 344,A1CC500PV3D01,2,,OK,800.2446,600.7718,799.1273,601.2349,-0.0005,-0.0039,0.0031,-0.00013,1,00:00:01.3290000,.\Image\2\Alignment\2019\04\20\00.05.01 344\Left.jpg,.\Image\2\Alignment\2019\04\20\00.05.01 344\Right.jpg
2019.04.20 00:05:16 965,A1CC500PV3D01,1,,RETRY,860.6616,518.8945,867.3741,590.1961,0.1259,0.1458,-0.1412,-0.01154,1,00:00:00,.\Image\1\Alignment\2019\04\20\00.05.16 965\Left.jpg,.\Image\1\Alignment\2019\04\20\00.05.16 965\Right.jpg
2019.04.20 00:05:17 039,A1CC500PV3D01,2,,RETRY,641.4277,564.5056,650.9341,628.7363,-0.6636,-0.6322,-0.0129,-0.01809,1,00:00:00,.\Image\2\Alignment\2019\04\20\00.05.17 039\Left.jpg,.\Image\2\Alignment\2019\04\20\00.05.17 039\Right.jpg
2019.04.20 00:05:17 650,A1CC500PV3D01,1,,OK,799.8266,599.6806,799.6751,600.1665,-0.001,-0.0014,-0.0002,-8E-05,1,00:00:01.0080000,.\Image\1\Alignment\2019\04\20\00.05.17 650\Left.jpg,.\Image\1\Alignment\2019\04\20\00.05.17 650\Right.jpg
2019.04.20 00:05:17 786,A1CC500PV3D01,2,,OK,800.9492,600.7387,800.3134,601.5732,0.0007,-0.0013,0.0035,-0.00023,1,00:00:00.9000000,.\Image\2\Alignment\2019\04\20\00.05.17 786\Left.jpg,.\Image\2\Alignment\2019\04\20\00.05.17 786\Right.jpg
2019.04.20 00:05:33 341,A1CC500PV3D01,1,,RETRY,851.0249,529.6532,857.2652,567.6297,0.1251,0.1437,-0.1594,-0.00616,1,00:00:00,.\Image\1\Alignment\2019\04\20\00.05.33 341\Left.jpg,.\Image\1\Alignment\2019\04\20\00.05.33 341\Right.jpg
