DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.29 00:00:06 401,A1CC500PV3D01,2,,RETRY,787.4495,593.5993,793.373,568.4348,0.0291,0.0476,-0.0582,0.00708,1,00:00:00,.\Image\2\Alignment\2019\04\29\00.00.06 401\Left.jpg,.\Image\2\Alignment\2019\04\29\00.00.06 401\Right.jpg
2019.04.29 00:00:07 160,A1CC500PV3D01,2,,OK,799.2421,600.3262,799.3576,599.4183,0.0001,0.0005,-0.0004,0.00026,1,00:00:00.9920000,.\Image\2\Alignment\2019\04\29\00.00.07 160\Left.jpg,.\Image\2\Alignment\2019\04\29\00.00.07 160\Right.jpg
2019.04.29 00:00:12 129,A1CC500PV3D01,1,,RETRY,860.2906,534.4696,874.0257,578.6917,0.1485,0.1901,-0.1348,-0.00714,1,00:00:00,.\Image\1\Alignment\2019\04\29\00.00.12 129\Left.jpg,.\Image\1\Alignment\2019\04\29\00.00.12 129\Right.jpg
2019.04.29 00:00:12 809,A1CC500PV3D01,1,,RETRY,801.1661,597.7371,800.8686,602.6549,-0.0007,-0.0016,0.0006,-0.00079,2,00:00:00,.\Image\1\Alignment\2019\04\29\00.00.12 809\Left.jpg,.\Image\1\Alignment\2019\04\29\00.00.12 809\Right.jpg
2019.04.29 00:00:14 029,A1CC500PV3D01,1,,OK,799.3932,601.6814,799.6502,598.8873,0.0006,0.0014,0.0009,0.00045,2,00:00:02.1510000,.\Image\1\Alignment\2019\04\29\00.00.14 029\Left.jpg,.\Image\1\Alignment\2019\04\29\00.00.14 029\Right.jpg
2019.04.29 00:00:30 951,A1CC500PV3D01,2,,RETRY,771.4008,571.8443,777.0118,558.8414,-0.0539,-0.0362,-0.1066,0.00363,1,00:00:00,.\Image\2\Alignment\2019\04\29\00.00.30 951\Left.jpg,.\Image\2\Alignment\2019\04\29\00.00.30 951\Right.jpg
2019.04.29 00:00:31 590,A1CC500PV3D01,2,,OK,799.6804,600.3612,800.8144,599.9475,0.0001,0.0036,0.0005,0.00012,1,00:00:00.8490000,.\Image\2\Alignment\2019\04\29\00.00.31 590\Left.jpg,.\Image\2\Alignment\2019\04\29\00.00.31 590\Right.jpg
2019.04.29 00:00:32 352,A1CC500PV3D01,1,,RETRY,845.0867,548.406,859.0834,581.6172,0.1109,0.1535,-0.1087,-0.00537,1,00:00:00,.\Image\1\Alignment\2019\04\29\00.00.32 352\Left.jpg,.\Image\1\Alignment\2019\04\29\00.00.32 352\Right.jpg
2019.04.29 00:00:33 560,A1CC500PV3D01,1,,RETRY,800.975,598.0339,801.1328,603.152,-0.0015,-0.001,0.0018,-0.00082,2,00:00:00,.\Image\1\Alignment\2019\04\29\00.00.33 560\Left.jpg,.\Image\1\Alignment\2019\04\29\00.00.33 560\Right.jpg
2019.04.29 00:00:34 627,A1CC500PV3D01,1,,OK,799.8251,601.3471,799.2564,599.2728,0.0013,-0.0005,0.001,0.00033,2,00:00:02.4130000,.\Image\1\Alignment\2019\04\29\00.00.34 627\Left.jpg,.\Image\1\Alignment\2019\04\29\00.00.34 627\Right.jpg
2019.04.29 00:00:51 094,A1CC500PV3D01,2,,RETRY,772.4458,583.2167,778.5539,566.8399,-0.0413,-0.0221,-0.0768,0.0046,1,00:00:00,.\Image\2\Alignment\2019\04\29\00.00.51 094\Left.jpg,.\Image\2\Alignment\2019\04\29\00.00.51 094\Right.jpg
2019.04.29 00:00:52 012,A1CC500PV3D01,2,,OK,798.7887,599.2536,799.2343,598.8688,-0.0027,-0.0013,-0.0029,0.00011,1,00:00:01.1520000,.\Image\2\Alignment\2019\04\29\00.00.52 012\Left.jpg,.\Image\2\Alignment\2019\04\29\00.00.52 012\Right.jpg
