DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.06 00:00:13 489,A1CC500PV3D01,1,,RETRY,850.5397,491.5234,862.5836,562.2764,0.0949,0.1312,-0.2268,-0.01141,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.00.13 489\Left.jpg,.\Image\1\Alignment\2019\04\06\00.00.13 489\Right.jpg
2019.04.06 00:00:13 907,A1CC500PV3D01,2,,RETRY,630.2395,586.2229,639.146,641.8049,-0.6752,-0.646,0.0435,-0.01567,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.00.13 907\Left.jpg,.\Image\2\Alignment\2019\04\06\00.00.13 907\Right.jpg
2019.04.06 00:00:14 251,A1CC500PV3D01,1,,OK,799.8401,599.3072,799.9384,599.2565,-0.0005,-0.0002,-0.0022,1E-05,1,00:00:00.8650000,.\Image\1\Alignment\2019\04\06\00.00.14 251\Left.jpg,.\Image\1\Alignment\2019\04\06\00.00.14 251\Right.jpg
2019.04.06 00:00:14 940,A1CC500PV3D01,2,,OK,799.4197,600.3807,799.5065,599.7228,0,0.0003,0.0002,0.00019,1,00:00:01.4410000,.\Image\2\Alignment\2019\04\06\00.00.14 940\Left.jpg,.\Image\2\Alignment\2019\04\06\00.00.14 940\Right.jpg
2019.04.06 00:00:34 437,A1CC500PV3D01,1,,RETRY,838.0727,504.2878,850.7033,536.5013,0.0899,0.1283,-0.2469,-0.00524,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.00.34 437\Left.jpg,.\Image\1\Alignment\2019\04\06\00.00.34 437\Right.jpg
2019.04.06 00:00:34 571,A1CC500PV3D01,2,,RETRY,627.0964,582.1478,636.4999,639.942,-0.6909,-0.6602,0.0344,-0.0163,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.00.34 571\Left.jpg,.\Image\2\Alignment\2019\04\06\00.00.34 571\Right.jpg
2019.04.06 00:00:35 196,A1CC500PV3D01,1,,OK,799.1085,601.5546,798.9819,599.0046,-0.0005,-0.0009,0.0009,0.00041,1,00:00:00.8400000,.\Image\1\Alignment\2019\04\06\00.00.35 196\Left.jpg,.\Image\1\Alignment\2019\04\06\00.00.35 196\Right.jpg
2019.04.06 00:00:35 278,A1CC500PV3D01,2,,OK,800.9851,600.7219,801.3743,601.4639,0.001,0.0022,0.0034,-0.00021,1,00:00:00.7970000,.\Image\2\Alignment\2019\04\06\00.00.35 278\Left.jpg,.\Image\2\Alignment\2019\04\06\00.00.35 278\Right.jpg
2019.04.06 00:00:53 429,A1CC500PV3D01,1,,RETRY,838.7262,504.1277,851.2988,549.2745,0.0806,0.1188,-0.2274,-0.00731,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.00.53 429\Left.jpg,.\Image\1\Alignment\2019\04\06\00.00.53 429\Right.jpg
2019.04.06 00:00:53 660,A1CC500PV3D01,2,,RETRY,623.8283,587.8463,633.018,650.686,-0.7146,-0.6845,0.0597,-0.01772,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.00.53 660\Left.jpg,.\Image\2\Alignment\2019\04\06\00.00.53 660\Right.jpg
2019.04.06 00:00:54 085,A1CC500PV3D01,1,,OK,799.0067,601.0617,798.8708,598.5793,-0.0009,-0.0013,-0.0006,0.0004,1,00:00:00.8150000,.\Image\1\Alignment\2019\04\06\00.00.54 085\Left.jpg,.\Image\1\Alignment\2019\04\06\00.00.54 085\Right.jpg
2019.04.06 00:00:54 328,A1CC500PV3D01,2,,OK,801.3088,599.2197,801.2914,600.7446,-0.0001,-0.0002,-0.0001,-0.00043,1,00:00:00.8810000,.\Image\2\Alignment\2019\04\06\00.00.54 328\Left.jpg,.\Image\2\Alignment\2019\04\06\00.00.54 328\Right.jpg
2019.04.06 00:01:11 726,A1CC500PV3D01,1,,RETRY,838.5313,516.903,850.8045,570.7926,0.0724,0.1097,-0.1742,-0.0087,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.01.11 726\Left.jpg,.\Image\1\Alignment\2019\04\06\00.01.11 726\Right.jpg
2019.04.06 00:01:11 788,A1CC500PV3D01,2,,RETRY,630.6883,577.6858,639.648,640.973,-0.6948,-0.6655,0.0291,-0.01785,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.01.11 788\Left.jpg,.\Image\2\Alignment\2019\04\06\00.01.11 788\Right.jpg
2019.04.06 00:01:12 408,A1CC500PV3D01,2,,OK,801.4715,599.1891,801.8734,600.4826,0.001,0.0023,-0.0005,-0.00037,1,00:00:00.7920000,.\Image\2\Alignment\2019\04\06\00.01.12 408\Left.jpg,.\Image\2\Alignment\2019\04\06\00.01.12 408\Right.jpg
2019.04.06 00:01:12 662,A1CC500PV3D01,1,,OK,799.7022,600.1769,799.7592,599.8421,-0.0006,-0.0005,0,5E-05,1,00:00:01.1740000,.\Image\1\Alignment\2019\04\06\00.01.12 662\Left.jpg,.\Image\1\Alignment\2019\04\06\00.01.12 662\Right.jpg
2019.04.06 00:01:32 905,A1CC500PV3D01,1,,RETRY,835.1569,528.9363,847.5457,576.551,0.0674,0.1052,-0.1466,-0.00768,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.01.32 905\Left.jpg,.\Image\1\Alignment\2019\04\06\00.01.32 905\Right.jpg
2019.04.06 00:01:33 061,A1CC500PV3D01,2,,RETRY,651.9078,588.7813,661.1695,655.6873,-0.639,-0.6088,0.0687,-0.01887,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.01.33 061\Left.jpg,.\Image\2\Alignment\2019\04\06\00.01.33 061\Right.jpg
2019.04.06 00:01:33 614,A1CC500PV3D01,1,,OK,799.5598,600.7945,799.1981,599.8567,-0.0005,-0.0017,0.001,0.00015,1,00:00:00.8700000,.\Image\1\Alignment\2019\04\06\00.01.33 614\Left.jpg,.\Image\1\Alignment\2019\04\06\00.01.33 614\Right.jpg
2019.04.06 00:01:34 236,A1CC500PV3D01,2,,OK,800.2102,599.9295,799.9107,600.1719,0,-0.0009,0.0002,-7E-05,1,00:00:01.2940000,.\Image\2\Alignment\2019\04\06\00.01.34 236\Left.jpg,.\Image\2\Alignment\2019\04\06\00.01.34 236\Right.jpg
2019.04.06 00:01:52 657,A1CC500PV3D01,1,,RETRY,841.9944,503.9462,854.0902,567.9061,0.0743,0.111,-0.1988,-0.01032,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.01.52 657\Left.jpg,.\Image\1\Alignment\2019\04\06\00.01.52 657\Right.jpg
2019.04.06 00:01:52 740,A1CC500PV3D01,2,,RETRY,658.2311,582.076,667.4594,645.0016,-0.6087,-0.5788,0.0419,-0.01776,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.01.52 740\Left.jpg,.\Image\2\Alignment\2019\04\06\00.01.52 740\Right.jpg
2019.04.06 00:01:53 293,A1CC500PV3D01,1,,OK,799.6554,599.6691,799.2629,599.669,-0.0011,-0.0023,-0.001,0,1,00:00:00.8840000,.\Image\1\Alignment\2019\04\06\00.01.53 293\Left.jpg,.\Image\1\Alignment\2019\04\06\00.01.53 293\Right.jpg
2019.04.06 00:01:53 425,A1CC500PV3D01,2,,OK,800.7551,599.7683,800.837,600.0725,0.0015,0.0017,-0.0002,-9E-05,1,00:00:00.8840000,.\Image\2\Alignment\2019\04\06\00.01.53 425\Left.jpg,.\Image\2\Alignment\2019\04\06\00.01.53 425\Right.jpg
2019.04.06 00:02:12 000,A1CC500PV3D01,2,,RETRY,637.5037,586.9034,646.6591,645.649,-0.6613,-0.6315,0.0504,-0.01656,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.02.12 000\Left.jpg,.\Image\2\Alignment\2019\04\06\00.02.12 000\Right.jpg
2019.04.06 00:02:13 111,A1CC500PV3D01,2,,OK,800.166,600.2444,800.2277,600.7329,-0.0008,-0.0006,0.0015,-0.00014,1,00:00:01.3320000,.\Image\2\Alignment\2019\04\06\00.02.13 111\Left.jpg,.\Image\2\Alignment\2019\04\06\00.02.13 111\Right.jpg
2019.04.06 00:04:47 929,A1CC500PV3D01,1,,RETRY,838.567,511.8511,850.0573,561.2122,0.0765,0.1113,-0.1969,-0.00798,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.04.47 929\Left.jpg,.\Image\1\Alignment\2019\04\06\00.04.47 929\Right.jpg
2019.04.06 00:04:48 516,A1CC500PV3D01,1,,OK,799.3887,599.698,798.7884,598.2854,-0.0007,-0.0025,-0.0031,0.00023,1,00:00:00.6760000,.\Image\1\Alignment\2019\04\06\00.04.48 516\Left.jpg,.\Image\1\Alignment\2019\04\06\00.04.48 516\Right.jpg
2019.04.06 00:05:02 067,A1CC500PV3D01,2,,RETRY,647.1328,579.7429,656.5649,661.1049,-0.693,-0.6623,0.0632,-0.02296,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.05.02 067\Left.jpg,.\Image\2\Alignment\2019\04\06\00.05.02 067\Right.jpg
2019.04.06 00:05:03 238,A1CC500PV3D01,2,,RETRY,800.2548,601.2211,799.7575,599.2341,0.0062,0.0047,0.0007,0.00056,2,00:00:00,.\Image\2\Alignment\2019\04\06\00.05.03 238\Left.jpg,.\Image\2\Alignment\2019\04\06\00.05.03 238\Right.jpg
2019.04.06 00:05:03 302,A1CC500PV3D01,1,,RETRY,840.4032,522.7318,852.6425,564.4996,0.0889,0.126,-0.1749,-0.00675,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.05.03 302\Left.jpg,.\Image\1\Alignment\2019\04\06\00.05.03 302\Right.jpg
2019.04.06 00:05:03 977,A1CC500PV3D01,2,,OK,799.0366,600.1766,799.1804,599.5207,-0.0012,-0.0007,-0.0005,0.00019,2,00:00:02.1030000,.\Image\2\Alignment\2019\04\06\00.05.03 977\Left.jpg,.\Image\2\Alignment\2019\04\06\00.05.03 977\Right.jpg
2019.04.06 00:05:04 069,A1CC500PV3D01,1,,OK,799.4799,599.9597,799.4639,598.5767,-0.0004,-0.0004,-0.0023,0.00022,1,00:00:01.0920000,.\Image\1\Alignment\2019\04\06\00.05.04 069\Left.jpg,.\Image\1\Alignment\2019\04\06\00.05.04 069\Right.jpg
2019.04.06 00:05:20 103,A1CC500PV3D01,1,,RETRY,828.7078,531.8927,840.4521,559.9057,0.0646,0.1004,-0.1678,-0.00454,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.05.20 103\Left.jpg,.\Image\1\Alignment\2019\04\06\00.05.20 103\Right.jpg
2019.04.06 00:05:20 251,A1CC500PV3D01,2,,RETRY,644.5919,574.0318,653.7244,636.3498,-0.6493,-0.6196,0.0163,-0.01759,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.05.20 251\Left.jpg,.\Image\2\Alignment\2019\04\06\00.05.20 251\Right.jpg
2019.04.06 00:05:21 283,A1CC500PV3D01,2,,OK,799.9404,599.9503,799.5492,599.9696,-0.0002,-0.0014,-0.0001,-1E-05,1,00:00:01.1560000,.\Image\2\Alignment\2019\04\06\00.05.21 283\Left.jpg,.\Image\2\Alignment\2019\04\06\00.05.21 283\Right.jpg
2019.04.06 00:05:21 370,A1CC500PV3D01,1,,OK,799.371,600.6731,799.7314,599.1551,-0.0006,0.0005,-0.0003,0.00024,1,00:00:01.3950000,.\Image\1\Alignment\2019\04\06\00.05.21 370\Left.jpg,.\Image\1\Alignment\2019\04\06\00.05.21 370\Right.jpg
2019.04.06 00:05:49 004,A1CC500PV3D01,1,,RETRY,833.0295,547.1873,845.2278,576.1033,0.0773,0.1145,-0.119,-0.00468,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.05.49 004\Left.jpg,.\Image\1\Alignment\2019\04\06\00.05.49 004\Right.jpg
2019.04.06 00:05:49 172,A1CC500PV3D01,2,,RETRY,635.0813,605.5691,644.2389,668.0929,-0.6788,-0.6489,0.1137,-0.01761,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.05.49 172\Left.jpg,.\Image\2\Alignment\2019\04\06\00.05.49 172\Right.jpg
2019.04.06 00:05:50 109,A1CC500PV3D01,2,,OK,800.0282,599.6455,800.0354,599.7558,-0.0002,-0.0002,-0.0009,-3E-05,1,00:00:01.1590000,.\Image\2\Alignment\2019\04\06\00.05.50 109\Left.jpg,.\Image\2\Alignment\2019\04\06\00.05.50 109\Right.jpg
2019.04.06 00:05:50 321,A1CC500PV3D01,1,,OK,799.1933,600.8274,799.5392,598.9024,-0.0008,0.0003,-0.0004,0.00031,1,00:00:01.6430000,.\Image\1\Alignment\2019\04\06\00.05.50 321\Left.jpg,.\Image\1\Alignment\2019\04\06\00.05.50 321\Right.jpg
2019.04.06 00:06:05 670,A1CC500PV3D01,1,,RETRY,838.7699,521.6955,850.7226,567.8653,0.0799,0.1162,-0.1713,-0.00746,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.06.05 670\Left.jpg,.\Image\1\Alignment\2019\04\06\00.06.05 670\Right.jpg
2019.04.06 00:06:05 916,A1CC500PV3D01,2,,RETRY,662.1316,577.5478,671.617,644.9898,-0.609,-0.5783,0.0349,-0.01904,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.06.05 916\Left.jpg,.\Image\2\Alignment\2019\04\06\00.06.05 916\Right.jpg
2019.04.06 00:06:06 302,A1CC500PV3D01,1,,OK,799.563,600.3267,799.1106,599.2649,-0.0004,-0.0018,-0.0006,0.00017,1,00:00:00.8380000,.\Image\1\Alignment\2019\04\06\00.06.06 302\Left.jpg,.\Image\1\Alignment\2019\04\06\00.06.06 302\Right.jpg
2019.04.06 00:06:06 616,A1CC500PV3D01,2,,OK,800.5983,599.766,800.6043,600.3445,0.0003,0.0003,0.0002,-0.00016,1,00:00:00.9680000,.\Image\2\Alignment\2019\04\06\00.06.06 616\Left.jpg,.\Image\2\Alignment\2019\04\06\00.06.06 616\Right.jpg
2019.04.06 00:06:22 451,A1CC500PV3D01,1,,RETRY,842.0724,507.7726,853.9586,566.9577,0.0787,0.1148,-0.1943,-0.00955,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.06.22 451\Left.jpg,.\Image\1\Alignment\2019\04\06\00.06.22 451\Right.jpg
2019.04.06 00:06:22 651,A1CC500PV3D01,2,,RETRY,654.0047,574.6669,663.5551,648.4037,-0.6512,-0.6202,0.0358,-0.02081,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.06.22 651\Left.jpg,.\Image\2\Alignment\2019\04\06\00.06.22 651\Right.jpg
2019.04.06 00:06:23 271,A1CC500PV3D01,1,,OK,799.2861,601.0511,798.925,599.8403,-0.0012,-0.0023,0.0014,0.00019,1,00:00:01.0280000,.\Image\1\Alignment\2019\04\06\00.06.23 271\Left.jpg,.\Image\1\Alignment\2019\04\06\00.06.23 271\Right.jpg
2019.04.06 00:06:23 402,A1CC500PV3D01,2,,OK,801.4365,599.2342,801.277,600.8619,0,-0.0005,0.0001,-0.00046,1,00:00:00.8980000,.\Image\2\Alignment\2019\04\06\00.06.23 402\Left.jpg,.\Image\2\Alignment\2019\04\06\00.06.23 402\Right.jpg
2019.04.06 00:06:39 069,A1CC500PV3D01,1,,RETRY,837.9572,511.4941,850.3665,564.4271,0.0714,0.1091,-0.1925,-0.00855,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.06.39 069\Left.jpg,.\Image\1\Alignment\2019\04\06\00.06.39 069\Right.jpg
2019.04.06 00:06:39 172,A1CC500PV3D01,2,,RETRY,650.7826,571.0509,659.9925,649.2492,-0.6733,-0.6433,0.0315,-0.02208,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.06.39 172\Left.jpg,.\Image\2\Alignment\2019\04\06\00.06.39 172\Right.jpg
2019.04.06 00:06:40 115,A1CC500PV3D01,2,,OK,799.2785,600.2852,798.8259,599.3951,0.0002,-0.0012,-0.0005,0.00025,1,00:00:01.0800000,.\Image\2\Alignment\2019\04\06\00.06.40 115\Left.jpg,.\Image\2\Alignment\2019\04\06\00.06.40 115\Right.jpg
2019.04.06 00:06:40 323,A1CC500PV3D01,1,,OK,799.4984,600.6426,799.91,598.5001,0.0003,0.0016,-0.0013,0.00034,1,00:00:01.5130000,.\Image\1\Alignment\2019\04\06\00.06.40 323\Left.jpg,.\Image\1\Alignment\2019\04\06\00.06.40 323\Right.jpg
2019.04.06 00:06:55 858,A1CC500PV3D01,1,,RETRY,839.3248,521.1857,851.6438,570.9254,0.0785,0.1159,-0.1674,-0.00803,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.06.55 858\Left.jpg,.\Image\1\Alignment\2019\04\06\00.06.55 858\Right.jpg
2019.04.06 00:06:56 218,A1CC500PV3D01,2,,RETRY,638.8798,581.1004,648.0981,647.2436,-0.6772,-0.6471,0.0439,-0.01866,1,00:00:00,.\Image\2\Alignment\2019\04\06\00.06.56 218\Left.jpg,.\Image\2\Alignment\2019\04\06\00.06.56 218\Right.jpg
2019.04.06 00:06:56 537,A1CC500PV3D01,1,,OK,799.4905,600.5072,799.3393,599.8589,-0.001,-0.0015,0.0006,0.0001,1,00:00:00.8270000,.\Image\1\Alignment\2019\04\06\00.06.56 537\Left.jpg,.\Image\1\Alignment\2019\04\06\00.06.56 537\Right.jpg
2019.04.06 00:06:57 024,A1CC500PV3D01,2,,OK,799.6696,600.2369,799.8087,599.9034,-0.0001,0.0003,0.0002,9E-05,1,00:00:01.1020000,.\Image\2\Alignment\2019\04\06\00.06.57 024\Left.jpg,.\Image\2\Alignment\2019\04\06\00.06.57 024\Right.jpg
2019.04.06 00:07:12 606,A1CC500PV3D01,1,,RETRY,838.8935,520.6967,850.8771,557.9753,0.0881,0.1245,-0.1882,-0.00603,1,00:00:00,.\Image\1\Alignment\2019\04\06\00.07.12 606\Left.jpg,.\Image\1\Alignment\2019\04\06\00.07.12 606\Right.jpg
