DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.04 00:00:20 848,50inch rev,1,,RETRY,855.4679,457.6872,865.9741,527.4246,0.111,0.1424,-0.3333,-0.01128,1,00:00:00,.\Image\1\Alignment\2019\04\04\00.00.20 848\Left.jpg,.\Image\1\Alignment\2019\04\04\00.00.20 848\Right.jpg
2019.04.04 00:00:21 106,50inch rev,2,,RETRY,584.7911,568.8424,594.4133,625.2548,-0.8178,-0.7863,-0.0086,-0.0159,1,00:00:00,.\Image\2\Alignment\2019\04\04\00.00.21 106\Left.jpg,.\Image\2\Alignment\2019\04\04\00.00.21 106\Right.jpg
2019.04.04 00:00:21 580,50inch rev,2,,OK,799.7759,600.274,800.655,599.6842,0.0009,0.0036,-0.0001,0.00017,1,00:00:00.7290000,.\Image\2\Alignment\2019\04\04\00.00.21 580\Left.jpg,.\Image\2\Alignment\2019\04\04\00.00.21 580\Right.jpg
2019.04.04 00:00:21 837,50inch rev,1,,OK,800.0595,598.9584,800.2311,599.7815,-0.0005,0,-0.002,-0.00013,1,00:00:01.1370000,.\Image\1\Alignment\2019\04\04\00.00.21 837\Left.jpg,.\Image\1\Alignment\2019\04\04\00.00.21 837\Right.jpg
2019.04.04 00:00:41 682,50inch rev,1,,RETRY,869.6368,448.6121,880.3377,557.6391,0.1206,0.1525,-0.3006,-0.01757,1,00:00:00,.\Image\1\Alignment\2019\04\04\00.00.41 682\Left.jpg,.\Image\1\Alignment\2019\04\04\00.00.41 682\Right.jpg
2019.04.04 00:00:41 771,50inch rev,2,,RETRY,594.2171,574.4016,603.9632,640.5779,-0.8151,-0.7832,0.0235,-0.01866,1,00:00:00,.\Image\2\Alignment\2019\04\04\00.00.41 771\Left.jpg,.\Image\2\Alignment\2019\04\04\00.00.41 771\Right.jpg
2019.04.04 00:00:42 794,50inch rev,2,,OK,800.0457,600.427,800.1555,600.6921,-0.0006,-0.0002,0.0017,-7E-05,1,00:00:01.2130000,.\Image\2\Alignment\2019\04\04\00.00.42 794\Left.jpg,.\Image\2\Alignment\2019\04\04\00.00.42 794\Right.jpg
2019.04.04 00:00:43 008,50inch rev,1,,RETRY,801.5159,597.3216,801.6102,603.1288,-0.0004,-0.0001,0.0007,-0.00093,2,00:00:00,.\Image\1\Alignment\2019\04\04\00.00.43 008\Left.jpg,.\Image\1\Alignment\2019\04\04\00.00.43 008\Right.jpg
2019.04.04 00:00:43 945,50inch rev,1,,OK,799.5109,601.2721,799.2007,598.5442,0.0009,-0.0001,-0.0003,0.00044,2,00:00:02.4690000,.\Image\1\Alignment\2019\04\04\00.00.43 945\Left.jpg,.\Image\1\Alignment\2019\04\04\00.00.43 945\Right.jpg
2019.04.04 00:01:04 858,50inch rev,1,,RETRY,862.0976,469.3139,872.8401,534.2634,0.1358,0.168,-0.3046,-0.0105,1,00:00:00,.\Image\1\Alignment\2019\04\04\00.01.04 858\Left.jpg,.\Image\1\Alignment\2019\04\04\00.01.04 858\Right.jpg
