DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.13 00:00:11 910,A1CC500PV4D01,1,,RETRY,848.9655,509.2604,853.1082,553.4617,0.1133,0.1253,-0.2129,-0.00715,1,00:00:00,.\Image\1\Alignment\2019\04\13\00.00.11 910\Left.jpg,.\Image\1\Alignment\2019\04\13\00.00.11 910\Right.jpg
2019.04.13 00:00:12 667,A1CC500PV4D01,1,,OK,798.9472,600.5384,798.8501,597.9043,-0.001,-0.0013,-0.0024,0.00042,1,00:00:00.9050000,.\Image\1\Alignment\2019\04\13\00.00.12 667\Left.jpg,.\Image\1\Alignment\2019\04\13\00.00.12 667\Right.jpg
2019.04.13 00:00:26 162,A1CC500PV4D01,2,,RETRY,632.083,579.2405,642.9844,664.181,-0.7491,-0.7138,0.0672,-0.02397,1,00:00:00,.\Image\2\Alignment\2019\04\13\00.00.26 162\Left.jpg,.\Image\2\Alignment\2019\04\13\00.00.26 162\Right.jpg
2019.04.13 00:00:27 255,A1CC500PV4D01,1,,RETRY,856.1581,497.7077,860.5474,577.3307,0.1046,0.1172,-0.1939,-0.01283,1,00:00:00,.\Image\1\Alignment\2019\04\13\00.00.27 255\Left.jpg,.\Image\1\Alignment\2019\04\13\00.00.27 255\Right.jpg
2019.04.13 00:00:27 388,A1CC500PV4D01,2,,OK,799.963,600.5398,799.5958,600.4116,0.0002,-0.0009,0.0015,4E-05,1,00:00:01.3430000,.\Image\2\Alignment\2019\04\13\00.00.27 388\Left.jpg,.\Image\2\Alignment\2019\04\13\00.00.27 388\Right.jpg
2019.04.13 00:00:28 214,A1CC500PV4D01,1,,OK,799.9262,598.8406,800.0798,599.8197,-0.0011,-0.0006,-0.0021,-0.00016,1,00:00:01.1990000,.\Image\1\Alignment\2019\04\13\00.00.28 214\Left.jpg,.\Image\1\Alignment\2019\04\13\00.00.28 214\Right.jpg
2019.04.13 00:00:43 168,A1CC500PV4D01,1,,RETRY,832.6802,502.2426,837.1937,532.7485,0.0746,0.0879,-0.2559,-0.00496,1,00:00:00,.\Image\1\Alignment\2019\04\13\00.00.43 168\Left.jpg,.\Image\1\Alignment\2019\04\13\00.00.43 168\Right.jpg
2019.04.13 00:00:43 395,A1CC500PV4D01,2,,RETRY,611.1316,582.7688,622.2296,637.9544,-0.7331,-0.6971,0.0323,-0.01555,1,00:00:00,.\Image\2\Alignment\2019\04\13\00.00.43 395\Left.jpg,.\Image\2\Alignment\2019\04\13\00.00.43 395\Right.jpg
2019.04.13 00:00:44 029,A1CC500PV4D01,2,,OK,799.9984,600.3434,799.6153,599.6237,0.002,0.0008,0,0.0002,1,00:00:00.8620000,.\Image\2\Alignment\2019\04\13\00.00.44 029\Left.jpg,.\Image\2\Alignment\2019\04\13\00.00.44 029\Right.jpg
2019.04.13 00:00:44 201,A1CC500PV4D01,1,,OK,799.191,600.8381,799.2275,598.6072,-0.0006,-0.0004,-0.0009,0.00036,1,00:00:01.1530000,.\Image\1\Alignment\2019\04\13\00.00.44 201\Left.jpg,.\Image\1\Alignment\2019\04\13\00.00.44 201\Right.jpg
2019.04.13 00:00:59 604,A1CC500PV4D01,1,,RETRY,837.7646,514.1332,841.8241,545.8774,0.0894,0.1013,-0.2171,-0.00515,1,00:00:00,.\Image\1\Alignment\2019\04\13\00.00.59 604\Left.jpg,.\Image\1\Alignment\2019\04\13\00.00.59 604\Right.jpg
2019.04.13 00:00:59 733,A1CC500PV4D01,2,,RETRY,599.0295,587.6276,609.8788,645.624,-0.778,-0.7427,0.0516,-0.01634,1,00:00:00,.\Image\2\Alignment\2019\04\13\00.00.59 733\Left.jpg,.\Image\2\Alignment\2019\04\13\00.00.59 733\Right.jpg
2019.04.13 00:01:00 244,A1CC500PV4D01,1,,OK,799.4161,600.0648,798.989,599.3187,-0.0012,-0.0025,-0.001,0.00012,1,00:00:00.8220000,.\Image\1\Alignment\2019\04\13\00.01.00 244\Left.jpg,.\Image\1\Alignment\2019\04\13\00.01.00 244\Right.jpg
2019.04.13 00:01:00 345,A1CC500PV4D01,2,,OK,801.0451,599.823,800.9617,600.5757,0.0012,0.0009,0.0006,-0.00021,1,00:00:00.8110000,.\Image\2\Alignment\2019\04\13\00.01.00 345\Left.jpg,.\Image\2\Alignment\2019\04\13\00.01.00 345\Right.jpg
2019.04.13 00:01:15 914,A1CC500PV4D01,1,,RETRY,855.4413,496.4406,859.8929,559.1083,0.1172,0.13,-0.2241,-0.01012,1,00:00:00,.\Image\1\Alignment\2019\04\13\00.01.15 914\Left.jpg,.\Image\1\Alignment\2019\04\13\00.01.15 914\Right.jpg
2019.04.13 00:01:16 227,A1CC500PV4D01,2,,RETRY,613.0966,584.6811,624.0045,647.201,-0.7469,-0.7115,0.0495,-0.01762,1,00:00:00,.\Image\2\Alignment\2019\04\13\00.01.16 227\Left.jpg,.\Image\2\Alignment\2019\04\13\00.01.16 227\Right.jpg
2019.04.13 00:01:16 577,A1CC500PV4D01,1,,OK,799.6047,600.378,799.3647,600.1882,-0.0011,-0.0018,0.0009,3E-05,1,00:00:00.8180000,.\Image\1\Alignment\2019\04\13\00.01.16 577\Left.jpg,.\Image\1\Alignment\2019\04\13\00.01.16 577\Right.jpg
2019.04.13 00:01:17 120,A1CC500PV4D01,2,,OK,799.9497,598.9868,799.6793,599.1784,-0.0007,-0.0015,-0.0028,-6E-05,1,00:00:01.1990000,.\Image\2\Alignment\2019\04\13\00.01.17 120\Left.jpg,.\Image\2\Alignment\2019\04\13\00.01.17 120\Right.jpg
