DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.09 00:00:15 336,A1CC500PV3D01,1,,RETRY,854.1161,512.0216,865.6665,576.2577,0.1116,0.1466,-0.1734,-0.01041,1,00:00:00,.\Image\1\Alignment\2019\04\09\00.00.15 336\Left.jpg,.\Image\1\Alignment\2019\04\09\00.00.15 336\Right.jpg
2019.04.09 00:00:15 570,A1CC500PV3D01,2,,RETRY,649.6629,564.9482,658.0539,635.5631,-0.6554,-0.6276,-0.002,-0.01989,1,00:00:00,.\Image\2\Alignment\2019\04\09\00.00.15 570\Left.jpg,.\Image\2\Alignment\2019\04\09\00.00.15 570\Right.jpg
2019.04.09 00:00:16 226,A1CC500PV3D01,1,,OK,799.8285,600.4313,799.7158,599.2969,0.0005,0.0001,-0.0004,0.00018,1,00:00:00.9990000,.\Image\1\Alignment\2019\04\09\00.00.16 226\Left.jpg,.\Image\1\Alignment\2019\04\09\00.00.16 226\Right.jpg
2019.04.09 00:00:16 329,A1CC500PV3D01,2,,OK,800.4483,601.3831,800.0245,601.3173,0.0016,0.0003,0.0042,2E-05,1,00:00:00.9410000,.\Image\2\Alignment\2019\04\09\00.00.16 329\Left.jpg,.\Image\2\Alignment\2019\04\09\00.00.16 329\Right.jpg
2019.04.09 00:00:34 279,A1CC500PV3D01,1,,RETRY,861.9493,512.8143,873.9374,576.923,0.1361,0.1724,-0.1711,-0.01038,1,00:00:00,.\Image\1\Alignment\2019\04\09\00.00.34 279\Left.jpg,.\Image\1\Alignment\2019\04\09\00.00.34 279\Right.jpg
2019.04.09 00:00:34 376,A1CC500PV3D01,2,,RETRY,657.0212,574.8868,665.5217,642.9256,-0.6256,-0.5975,0.0247,-0.01915,1,00:00:00,.\Image\2\Alignment\2019\04\09\00.00.34 376\Left.jpg,.\Image\2\Alignment\2019\04\09\00.00.34 376\Right.jpg
2019.04.09 00:00:35 012,A1CC500PV3D01,2,,OK,799.8089,601.4644,799.4069,601.1247,0.0003,-0.0009,0.004,0.0001,1,00:00:00.8570000,.\Image\2\Alignment\2019\04\09\00.00.35 012\Left.jpg,.\Image\2\Alignment\2019\04\09\00.00.35 012\Right.jpg
2019.04.09 00:00:35 275,A1CC500PV3D01,1,,OK,799.9973,599.8892,799.9607,600.0566,-0.0002,-0.0003,-0.0001,-3E-05,1,00:00:01.2770000,.\Image\1\Alignment\2019\04\09\00.00.35 275\Left.jpg,.\Image\1\Alignment\2019\04\09\00.00.35 275\Right.jpg
2019.04.09 00:00:54 401,A1CC500PV3D01,1,,RETRY,854.408,495.339,866.075,573.287,0.1005,0.1358,-0.2039,-0.01263,1,00:00:00,.\Image\1\Alignment\2019\04\09\00.00.54 401\Left.jpg,.\Image\1\Alignment\2019\04\09\00.00.54 401\Right.jpg
