DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.24 00:05:11 111,A1CC430LV1D01,2,,RETRY,771.2385,625.3127,769.4861,587.9207,-0.012,-0.0171,0.0209,0.00934,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.05.11 111\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.11 111\Right.jpg
2019.04.24 00:05:12 055,A1CC430LV1D01,2,,RETRY,800.6033,603.6311,800.6897,595.9653,0.0176,0.0179,-0.0005,0.00191,2,00:00:00,.\Image\2\Alignment\2019\04\24\00.05.12 055\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.12 055\Right.jpg
2019.04.24 00:05:12 910,A1CC430LV1D01,2,,OK,800.3712,600.4155,800.3591,598.7974,0.0045,0.0044,-0.0012,0.0004,2,00:00:01.9860000,.\Image\2\Alignment\2019\04\24\00.05.12 910\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.12 910\Right.jpg
2019.04.24 00:05:28 142,A1CC430LV1D01,2,,RETRY,845.9643,599.9024,844.3482,639.1298,0.0618,0.0563,0.0595,-0.00977,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.05.28 142\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.28 142\Right.jpg
2019.04.24 00:05:28 845,A1CC430LV1D01,2,,RETRY,800.1963,595.1369,800.3615,605.0683,-0.0198,-0.0193,0.0002,-0.00248,2,00:00:00,.\Image\2\Alignment\2019\04\24\00.05.28 845\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.28 845\Right.jpg
2019.04.24 00:05:29 318,A1CC430LV1D01,2,,RETRY,799.2487,598.7519,799.2962,600.4163,-0.0057,-0.0056,-0.0013,-0.00042,3,00:00:00,.\Image\2\Alignment\2019\04\24\00.05.29 318\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.29 318\Right.jpg
2019.04.24 00:05:29 880,A1CC430LV1D01,2,,RETRY,802.0679,599.109,802.2883,601.7421,0.001,0.0016,0.0013,-0.00066,4,00:00:00,.\Image\2\Alignment\2019\04\24\00.05.29 880\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.29 880\Right.jpg
2019.04.24 00:05:30 875,A1CC430LV1D01,2,,OK,797.9943,600.8648,798.0859,599.4514,-0.0033,-0.003,0.0005,0.00035,4,00:00:02.8590000,.\Image\2\Alignment\2019\04\24\00.05.30 875\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.30 875\Right.jpg
2019.04.24 00:05:46 014,A1CC430LV1D01,2,,RETRY,781.2382,624.2338,779.229,626.0421,-0.0614,-0.0673,0.0775,-0.00042,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.05.46 014\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.46 014\Right.jpg
2019.04.24 00:05:46 963,A1CC430LV1D01,2,,OK,799.8499,599.3507,800.2962,600.2556,-0.0023,-0.0009,-0.0006,-0.00023,1,00:00:01.0150000,.\Image\2\Alignment\2019\04\24\00.05.46 963\Left.jpg,.\Image\2\Alignment\2019\04\24\00.05.46 963\Right.jpg
2019.04.24 00:06:02 410,A1CC430LV1D01,2,,RETRY,788.78,610.4472,787.1055,620.4225,-0.055,-0.06,0.0475,-0.00247,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.06.02 410\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.02 410\Right.jpg
2019.04.24 00:06:03 125,A1CC430LV1D01,2,,RETRY,800.3011,598.6636,800.7351,601.9022,-0.0057,-0.0044,0.0008,-0.00081,2,00:00:00,.\Image\2\Alignment\2019\04\24\00.06.03 125\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.03 125\Right.jpg
2019.04.24 00:06:03 801,A1CC430LV1D01,2,,OK,799.7222,598.702,799.764,599.4241,-0.0024,-0.0022,-0.0029,-0.00018,2,00:00:01.5360000,.\Image\2\Alignment\2019\04\24\00.06.03 801\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.03 801\Right.jpg
2019.04.24 00:06:20 999,A1CC430LV1D01,2,,RETRY,782.7277,601.0543,780.9225,600.7151,-0.0527,-0.058,0.0028,9E-05,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.06.20 999\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.20 999\Right.jpg
2019.04.24 00:06:21 971,A1CC430LV1D01,2,,OK,799.3318,600.0852,799.9167,600.2392,-0.0024,-0.0006,0.0005,-4E-05,1,00:00:01.0270000,.\Image\2\Alignment\2019\04\24\00.06.21 971\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.21 971\Right.jpg
2019.04.24 00:06:37 285,A1CC430LV1D01,2,,RETRY,783.68,599.1896,781.7963,593.9043,-0.0396,-0.0453,-0.0105,0.00132,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.06.37 285\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.37 285\Right.jpg
2019.04.24 00:06:37 974,A1CC430LV1D01,2,,OK,799.8107,600.0929,800.3705,599.1765,0.0013,0.003,-0.0011,0.00023,1,00:00:00.8510000,.\Image\2\Alignment\2019\04\24\00.06.37 974\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.37 974\Right.jpg
2019.04.24 00:06:53 381,A1CC430LV1D01,2,,RETRY,796.0748,599.1976,794.4117,588.3992,0.01,0.0049,-0.019,0.00269,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.06.53 381\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.53 381\Right.jpg
2019.04.24 00:06:54 074,A1CC430LV1D01,2,,RETRY,801.0075,600.6101,800.6351,599.2237,0.006,0.0048,-0.0002,0.00035,2,00:00:00,.\Image\2\Alignment\2019\04\24\00.06.54 074\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.54 074\Right.jpg
2019.04.24 00:06:54 892,A1CC430LV1D01,2,,RETRY,798.4284,600.8279,798.3755,598.3839,0.0002,0,-0.0012,0.00061,3,00:00:00,.\Image\2\Alignment\2019\04\24\00.06.54 892\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.54 892\Right.jpg
2019.04.24 00:06:56 049,A1CC430LV1D01,2,,OK,801.2545,599.3816,801.403,600.2401,0.0021,0.0026,-0.0006,-0.00021,3,00:00:02.8200000,.\Image\2\Alignment\2019\04\24\00.06.56 049\Left.jpg,.\Image\2\Alignment\2019\04\24\00.06.56 049\Right.jpg
2019.04.24 00:07:11 311,A1CC430LV1D01,2,,RETRY,767.07,609.1435,765.3471,591.837,-0.0662,-0.0712,0.0018,0.00433,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.07.11 311\Left.jpg,.\Image\2\Alignment\2019\04\24\00.07.11 311\Right.jpg
2019.04.24 00:07:12 000,A1CC430LV1D01,2,,RETRY,799.4237,601.8888,800.1546,597.7707,0.0067,0.0089,-0.0005,0.00103,2,00:00:00,.\Image\2\Alignment\2019\04\24\00.07.12 000\Left.jpg,.\Image\2\Alignment\2019\04\24\00.07.12 000\Right.jpg
2019.04.24 00:07:12 907,A1CC430LV1D01,2,,OK,800.8038,599.1519,800.7038,599.2461,0.0023,0.002,-0.0025,-2E-05,2,00:00:01.8090000,.\Image\2\Alignment\2019\04\24\00.07.12 907\Left.jpg,.\Image\2\Alignment\2019\04\24\00.07.12 907\Right.jpg
2019.04.24 00:07:28 141,A1CC430LV1D01,2,,RETRY,808.3046,611.5989,806.8681,610.3535,0.0284,0.0239,0.0338,0.00032,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.07.28 141\Left.jpg,.\Image\2\Alignment\2019\04\24\00.07.28 141\Right.jpg
2019.04.24 00:07:28 785,A1CC430LV1D01,2,,OK,799.294,600.0971,799.4665,599.5677,-0.0011,-0.0006,-0.0005,0.00013,1,00:00:00.7320000,.\Image\2\Alignment\2019\04\24\00.07.28 785\Left.jpg,.\Image\2\Alignment\2019\04\24\00.07.28 785\Right.jpg
2019.04.24 00:07:44 363,A1CC430LV1D01,2,,RETRY,800.1948,621.224,798.6391,618.1819,0.0071,0.0023,0.0607,0.00078,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.07.44 363\Left.jpg,.\Image\2\Alignment\2019\04\24\00.07.44 363\Right.jpg
2019.04.24 00:07:44 900,A1CC430LV1D01,2,,OK,800.133,600.4112,799.798,599.3728,0.0025,0.0015,-0.0003,0.00026,1,00:00:00.6470000,.\Image\2\Alignment\2019\04\24\00.07.44 900\Left.jpg,.\Image\2\Alignment\2019\04\24\00.07.44 900\Right.jpg
2019.04.24 00:08:00 252,A1CC430LV1D01,2,,RETRY,752.1574,618.403,750.4533,582.8156,-0.0748,-0.0795,0.0024,0.00889,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.08.00 252\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.00 252\Right.jpg
2019.04.24 00:08:00 862,A1CC430LV1D01,2,,RETRY,801.126,603.2555,801.2985,596.0981,0.0182,0.0187,-0.0009,0.00178,2,00:00:00,.\Image\2\Alignment\2019\04\24\00.08.00 862\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.00 862\Right.jpg
2019.04.24 00:08:01 367,A1CC430LV1D01,2,,RETRY,799.4407,600.6099,799.4343,598.2068,0.0032,0.0032,-0.0018,0.0006,3,00:00:00,.\Image\2\Alignment\2019\04\24\00.08.01 367\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.01 367\Right.jpg
2019.04.24 00:08:01 921,A1CC430LV1D01,2,,OK,799.7802,600.6637,799.7723,599.4503,0.0018,0.0018,0.0002,0.0003,3,00:00:01.7700000,.\Image\2\Alignment\2019\04\24\00.08.01 921\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.01 921\Right.jpg
2019.04.24 00:08:17 169,A1CC430LV1D01,2,,RETRY,783.2384,616.7567,781.7055,598.3725,-0.014,-0.0185,0.0236,0.0046,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.08.17 169\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.17 169\Right.jpg
2019.04.24 00:08:17 970,A1CC430LV1D01,2,,RETRY,800.4872,601.4945,800.7753,598.1558,0.0084,0.0092,-0.0005,0.00083,2,00:00:00,.\Image\2\Alignment\2019\04\24\00.08.17 970\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.17 970\Right.jpg
2019.04.24 00:08:18 992,A1CC430LV1D01,2,,OK,800.1624,600.1699,799.9036,598.9119,0.0031,0.0023,-0.0014,0.00031,2,00:00:01.9780000,.\Image\2\Alignment\2019\04\24\00.08.18 992\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.18 992\Right.jpg
2019.04.24 00:08:34 317,A1CC430LV1D01,2,,RETRY,853.0895,589.5624,851.5489,641.2101,0.0583,0.053,0.0466,-0.01288,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.08.34 317\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.34 317\Right.jpg
2019.04.24 00:08:34 856,A1CC430LV1D01,2,,RETRY,799.6473,594.0813,799.763,606.6143,-0.0268,-0.0264,0.0009,-0.00313,2,00:00:00,.\Image\2\Alignment\2019\04\24\00.08.34 856\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.34 856\Right.jpg
2019.04.24 00:08:35 699,A1CC430LV1D01,2,,RETRY,799.5882,597.9591,799.8087,600.3602,-0.0062,-0.0055,-0.0026,-0.0006,3,00:00:00,.\Image\2\Alignment\2019\04\24\00.08.35 699\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.35 699\Right.jpg
2019.04.24 00:08:36 558,A1CC430LV1D01,2,,OK,800.6681,600.2699,800.5519,601.6064,-0.0007,-0.001,0.0029,-0.00033,3,00:00:02.3770000,.\Image\2\Alignment\2019\04\24\00.08.36 558\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.36 558\Right.jpg
2019.04.24 00:08:57 127,A1CC430LV1D01,2,,RETRY,814.9888,601.4284,813.5542,605.1245,0.0388,0.0342,0.01,-0.00092,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.08.57 127\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.57 127\Right.jpg
2019.04.24 00:08:58 006,A1CC430LV1D01,2,,OK,799.4492,599.4836,799.8257,600.0938,-0.003,-0.0018,-0.0007,-0.00015,1,00:00:01.0150000,.\Image\2\Alignment\2019\04\24\00.08.58 006\Left.jpg,.\Image\2\Alignment\2019\04\24\00.08.58 006\Right.jpg
2019.04.24 00:09:18 555,A1CC430LV1D01,2,,RETRY,795.3168,604.1136,793.6277,612.3359,-0.0313,-0.0364,0.0252,-0.00204,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.09.18 555\Left.jpg,.\Image\2\Alignment\2019\04\24\00.09.18 555\Right.jpg
2019.04.24 00:09:19 186,A1CC430LV1D01,2,,RETRY,798.7173,598.9269,799.5545,600.0867,-0.0064,-0.0038,-0.0015,-0.00029,2,00:00:00,.\Image\2\Alignment\2019\04\24\00.09.19 186\Left.jpg,.\Image\2\Alignment\2019\04\24\00.09.19 186\Right.jpg
2019.04.24 00:09:20 067,A1CC430LV1D01,2,,RETRY,801.1218,599.1424,801.0097,601.187,-0.0007,-0.0011,0.0005,-0.00051,3,00:00:00,.\Image\2\Alignment\2019\04\24\00.09.20 067\Left.jpg,.\Image\2\Alignment\2019\04\24\00.09.20 067\Right.jpg
2019.04.24 00:09:20 951,A1CC430LV1D01,2,,OK,800.3321,599.514,800.3492,600.6143,-0.0012,-0.0012,0.0002,-0.00027,3,00:00:02.5650000,.\Image\2\Alignment\2019\04\24\00.09.20 951\Left.jpg,.\Image\2\Alignment\2019\04\24\00.09.20 951\Right.jpg
2019.04.24 00:09:47 855,A1CC430LV1D01,2,,RETRY,780.1517,638.5948,778.4373,615.168,-0.0129,-0.018,0.0831,0.00588,1,00:00:00,.\Image\2\Alignment\2019\04\24\00.09.47 855\Left.jpg,.\Image\2\Alignment\2019\04\24\00.09.47 855\Right.jpg
