DATETIME,STAGE,ITEM,LEFT_LEN,RIGHT_LEN,LEFT_RESULT,RIGHT_RESULT
STRING,STRING,STRING,DOUBLE,DOUBLE,BOOL,BOOL
2015.10.17 14:43:06 315,1,TOP,,1.005,,True
2015.10.17 14:43:13 501,1,BOTTOM,,1.003,,True
2015.10.17 14:43:38 005,2,TOP,0.751,0.767,True,True
2015.10.17 14:43:44 593,2,BOTTOM,0.754,0.749,True,True
2015.10.17 14:49:01 631,1,TOP,,0.995,,True
2015.10.17 14:49:08 810,1,BOTTOM,,0.999,,True
2015.10.17 14:49:32 356,2,TOP,0.752,0.755,True,True
2015.10.17 14:49:38 956,2,BOTTOM,0.747,0.754,True,True
