DATETIME,STAGE,ITEM,LEFT_LEN,RIGHT_LEN,LEFT_RESULT,RIGHT_RESULT
STRING,STRING,STRING,DOUBLE,DOUBLE,BOOL,BOOL
2015.10.12 16:23:40 343,1,TOP,,0.988,,False
2015.10.12 16:24:27 743,1,TOP,,0.988,,False
2015.10.12 16:38:57 571,2,TOP,0.764,-0.095,False,False
2015.10.12 16:51:23 407,2,TOP,0.762,0.1,False,False
2015.10.12 17:02:02 711,2,TOP,0.763,0.1,False,False
2015.10.12 17:25:46 845,2,TOP,0.762,-0.095,True,False
2015.10.12 17:36:06 180,2,TOP,0.762,0.751,True,True
2015.10.12 17:36:12 761,2,BOTTOM,0.771,0.731,True,True
2015.10.12 17:40:48 567,1,TOP,,0.988,,True
2015.10.12 17:40:55 739,1,BOTTOM,,0.985,,True
2015.10.12 18:00:27 361,1,TOP,,1.012,,True
2015.10.12 18:00:34 540,1,BOTTOM,,1.013,,True
2015.10.12 18:03:29 533,2,TOP,0.758,0.753,True,True
2015.10.12 18:03:36 163,2,BOTTOM,0.755,0.736,True,True
2015.10.12 20:12:39 337,1,TOP,,0.999,,True
2015.10.12 20:20:37 173,1,TOP,,1.004,,True
2015.10.12 20:20:44 352,1,BOTTOM,,0.999,,True
2015.10.12 20:21:09 118,2,TOP,0.752,0.758,True,True
2015.10.12 20:33:10 269,1,TOP,,1.01,,True
2015.10.12 20:33:17 387,1,BOTTOM,,1.006,,True
2015.10.12 20:33:42 147,2,TOP,0.743,0.76,True,True
2015.10.12 20:36:34 576,2,TOP,0.744,0.762,True,True
2015.10.12 20:36:41 160,2,BOTTOM,0.757,0.743,True,True
2015.10.12 20:43:22 491,1,TOP,,1.002,,True
2015.10.12 20:43:29 611,1,BOTTOM,,1.005,,True
2015.10.12 20:43:53 117,2,TOP,0.748,0.754,True,True
2015.10.12 20:43:59 683,2,BOTTOM,0.752,0.744,True,True
