DATETIME,STAGE,ITEM,LEFT_LEN,RIGHT_LEN,LEFT_RESULT,RIGHT_RESULT
STRING,STRING,STRING,DOUBLE,DOUBLE,BOOL,BOOL
2015.12.05 14:54:41 476,1,TOP,,0.951,,False
2015.12.05 19:08:07 256,1,TOP,,0.951,,False
