DATETIME,STAGE,ITEM,LEFT_LEN,RIGHT_LEN,LEFT_RESULT,RIGHT_RESULT
STRING,STRING,STRING,DOUBLE,DOUBLE,BOOL,BOOL
2015.11.13 10:07:46 369,1,TOP,,0.987,,True
2015.11.13 10:07:53 511,1,BOTTOM,,1.014,,True
2015.11.13 10:08:18 105,2,TOP,0.717,0.725,True,True
2015.11.13 10:08:24 485,2,BOTTOM,0.717,0.724,True,True
