DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.03.31 00:00:27 924,A1CC495PU1L11,1,,RETRY,846.7029,530.7505,857.3551,538.342,0.1384,0.1706,-0.203,-0.00128,1,00:00:00,.\Image\1\Alignment\2019\03\31\00.00.27 924\Left.jpg,.\Image\1\Alignment\2019\03\31\00.00.27 924\Right.jpg
2019.03.31 00:00:28 087,A1CC495PU1L11,2,,RETRY,626.3354,551.3816,638.7204,600.9821,-0.6714,-0.6316,-0.073,-0.01401,1,00:00:00,.\Image\2\Alignment\2019\03\31\00.00.28 087\Left.jpg,.\Image\2\Alignment\2019\03\31\00.00.28 087\Right.jpg
2019.03.31 00:00:28 978,A1CC495PU1L11,2,,OK,799.1256,600.6703,799.2501,599.6941,0,0.0003,0.0006,0.00028,1,00:00:01.1860000,.\Image\2\Alignment\2019\03\31\00.00.28 978\Left.jpg,.\Image\2\Alignment\2019\03\31\00.00.28 978\Right.jpg
2019.03.31 00:00:29 209,A1CC495PU1L11,1,,OK,799.8946,599.8989,799.7701,599.8604,-0.0003,-0.0007,-0.0004,1E-05,1,00:00:01.5900000,.\Image\1\Alignment\2019\03\31\00.00.29 209\Left.jpg,.\Image\1\Alignment\2019\03\31\00.00.29 209\Right.jpg
2019.03.31 00:01:36 035,A1CC495PU1L11,1,,RETRY,876.7625,523.4062,887.3917,571.2473,0.1966,0.2283,-0.1634,-0.00772,1,00:00:00,.\Image\1\Alignment\2019\03\31\00.01.36 035\Left.jpg,.\Image\1\Alignment\2019\03\31\00.01.36 035\Right.jpg
2019.03.31 00:01:36 262,A1CC495PU1L11,2,,RETRY,623.5934,566.2122,635.6929,619.8115,-0.6905,-0.6516,-0.0212,-0.01512,1,00:00:00,.\Image\2\Alignment\2019\03\31\00.01.36 262\Left.jpg,.\Image\2\Alignment\2019\03\31\00.01.36 262\Right.jpg
2019.03.31 00:01:36 906,A1CC495PU1L11,1,,OK,799.5068,600.481,799.5537,599.3903,-0.0006,-0.0004,-0.0002,0.00018,1,00:00:00.9520000,.\Image\1\Alignment\2019\03\31\00.01.36 906\Left.jpg,.\Image\1\Alignment\2019\03\31\00.01.36 906\Right.jpg
2019.03.31 00:01:37 134,A1CC495PU1L11,2,,OK,799.3191,600.9279,799.6873,600.4374,-0.0008,0.0004,0.0021,0.00014,1,00:00:01.0620000,.\Image\2\Alignment\2019\03\31\00.01.37 134\Left.jpg,.\Image\2\Alignment\2019\03\31\00.01.37 134\Right.jpg
2019.03.31 00:02:04 290,A1CC495PU1L11,1,,RETRY,848.801,543.7306,859.5679,547.3859,0.1484,0.181,-0.1688,-0.00063,1,00:00:00,.\Image\1\Alignment\2019\03\31\00.02.04 290\Left.jpg,.\Image\1\Alignment\2019\03\31\00.02.04 290\Right.jpg
2019.03.31 00:02:04 356,A1CC495PU1L11,2,,RETRY,640.3365,546.2679,652.2754,603.337,-0.6485,-0.6102,-0.0773,-0.01613,1,00:00:00,.\Image\2\Alignment\2019\03\31\00.02.04 356\Left.jpg,.\Image\2\Alignment\2019\03\31\00.02.04 356\Right.jpg
2019.03.31 00:02:04 949,A1CC495PU1L11,1,,OK,799.7385,599.6865,799.716,600.067,-0.0011,-0.0012,-0.0004,-6E-05,1,00:00:00.9160000,.\Image\1\Alignment\2019\03\31\00.02.04 949\Left.jpg,.\Image\1\Alignment\2019\03\31\00.02.04 949\Right.jpg
