DATETIME,STAGE,ITEM,LEFT_LEN,RIGHT_LEN,LEFT_RESULT,RIGHT_RESULT
STRING,STRING,STRING,DOUBLE,DOUBLE,BOOL,BOOL
2015.09.02 16:43:30 854,1,TOP,,0.943,,False
2015.09.02 18:41:11 920,2,TOP,1.032,,True,
2015.09.02 18:41:18 398,2,BOTTOM,1.057,,False,
