DATETIME,STAGE,ITEM,LEFT_LEN,RIGHT_LEN,LEFT_RESULT,RIGHT_RESULT
STRING,STRING,STRING,DOUBLE,DOUBLE,BOOL,BOOL
2015.09.03 11:31:30 771,1,TOP,,1.023,,True
2015.09.03 11:45:26 886,1,TOP,,0.999,,True
2015.09.03 11:45:33 692,1,BOTTOM,,0.98,,True
